--- RISAT-2B Logs ---
[2025-01-01 00:00:00] Temperature: 18.1°C, Voltage: 3.81V, Current: 1.17A, Signal_Strength: -48dBm, Antenna_Angle: 153.26°, Roll: 1.23°, Pitch: -1.09°, Yaw: 1.62°, Packets_Sent: 1818, Status: OK
[2025-01-01 01:22:00] Temperature: 29.1°C, Voltage: 3.58V, Current: 1.26A, Signal_Strength: -57dBm, Antenna_Angle: 283.11°, Roll: 1.91°, Pitch: 0.75°, Yaw: 307.19°, Packets_Sent: 969, Status: OK
[2025-01-01 01:23:00] Temperature: 17.7°C, Voltage: 3.73V, Current: 1.46A, Signal_Strength: -70dBm, Antenna_Angle: 193.75°, Roll: -1.69°, Pitch: -0.59°, Yaw: 69.33°, Packets_Sent: 1610, Status: OK
[2025-01-01 01:24:00] Temperature: 33.2°C, Voltage: 3.48V, Current: 1.27A, Signal_Strength: -60dBm, Antenna_Angle: 123.95°, Roll: 0.92°, Pitch: 1.23°, Yaw: 115.54°, Packets_Sent: 1061, Status: OK
[2025-01-01 01:25:00] Temperature: 22.8°C, Voltage: 3.74V, Current: 1.08A, Signal_Strength: -55dBm, Antenna_Angle: 89.59°, Roll: 1.69°, Pitch: -1.81°, Yaw: 177.08°, Packets_Sent: 1139, Status: OK
[2025-01-01 01:26:00] Temperature: 16.5°C, Voltage: 3.45V, Current: 0.67A, Signal_Strength: -50dBm, Antenna_Angle: 4.54°, Roll: -0.72°, Pitch: -0.75°, Yaw: 194.24°, Packets_Sent: 1537, Status: OK
[2025-01-01 01:27:00] Temperature: 44.8°C, Voltage: 3.55V, Current: 1.42A, Signal_Strength: -54dBm, Antenna_Angle: 53.86°, Roll: 1.22°, Pitch: -1.90°, Yaw: 75.24°, Packets_Sent: 1066, Status: OK
[2025-01-01 01:28:00] Temperature: 38.1°C, Voltage: 3.76V, Current: 1.21A, Signal_Strength: -74dBm, Antenna_Angle: 184.94°, Roll: 0.74°, Pitch: -0.89°, Yaw: 349.95°, Packets_Sent: 1717, Status: OK
[2025-01-01 01:29:00] Temperature: 34.8°C, Voltage: 3.66V, Current: 0.41A, Signal_Strength: -63dBm, Antenna_Angle: 56.68°, Roll: -1.64°, Pitch: 1.61°, Yaw: 101.69°, Packets_Sent: 1592, Status: OK
[2025-01-01 01:30:00] Temperature: 33.0°C, Voltage: 3.80V, Current: 1.19A, Signal_Strength: -65dBm, Antenna_Angle: 150.30°, Roll: -1.78°, Pitch: -1.24°, Yaw: 354.75°, Packets_Sent: 1309, Status: OK
[2025-01-01 01:31:00] Temperature: 40.5°C, Voltage: 3.65V, Current: 0.96A, Signal_Strength: -73dBm, Antenna_Angle: 276.70°, Roll: -0.05°, Pitch: 0.02°, Yaw: 347.37°, Packets_Sent: 1784, Status: OK
[2025-01-01 01:32:00] Temperature: 44.8°C, Voltage: 3.47V, Current: 0.59A, Signal_Strength: -46dBm, Antenna_Angle: 257.62°, Roll: 0.16°, Pitch: 0.89°, Yaw: 249.39°, Packets_Sent: 1089, Status: OK
[2025-01-01 01:33:00] Temperature: 23.5°C, Voltage: 3.54V, Current: 0.50A, Signal_Strength: -55dBm, Antenna_Angle: 327.76°, Roll: -0.49°, Pitch: -1.62°, Yaw: 193.36°, Packets_Sent: 1698, Status: OK
[2025-01-01 01:34:00] Temperature: 31.8°C, Voltage: 3.59V, Current: 1.28A, Signal_Strength: -68dBm, Antenna_Angle: 236.92°, Roll: 0.38°, Pitch: -0.39°, Yaw: 106.29°, Packets_Sent: 1128, Status: OK
[2025-01-01 01:35:00] Temperature: 35.5°C, Voltage: 3.85V, Current: 0.56A, Signal_Strength: -66dBm, Antenna_Angle: 216.22°, Roll: 0.71°, Pitch: -0.10°, Yaw: 342.70°, Packets_Sent: 1863, Status: OK
[2025-01-01 01:36:00] Temperature: 23.4°C, Voltage: 3.64V, Current: 1.17A, Signal_Strength: -51dBm, Antenna_Angle: 310.87°, Roll: 1.67°, Pitch: 1.58°, Yaw: 28.77°, Packets_Sent: 1181, Status: OK
[2025-01-01 01:37:00] Temperature: 23.7°C, Voltage: 3.75V, Current: 1.31A, Signal_Strength: -58dBm, Antenna_Angle: 262.50°, Roll: -0.32°, Pitch: 1.17°, Yaw: 289.40°, Packets_Sent: 1457, Status: OK
[2025-01-01 01:38:00] Temperature: 19.0°C, Voltage: 3.61V, Current: 0.67A, Signal_Strength: -54dBm, Antenna_Angle: 207.43°, Roll: -0.55°, Pitch: 1.90°, Yaw: 49.63°, Packets_Sent: 905, Status: OK
[2025-01-01 01:39:00] Temperature: 79.1°C, Voltage: 3.57V, Current: 0.54A, Signal_Strength: -60dBm, Antenna_Angle: 199.98°, Roll: -1.98°, Pitch: 1.63°, Yaw: 186.09°, Packets_Sent: 1818, Status: Warning
[2025-01-01 01:40:00] Temperature: 16.2°C, Voltage: 3.61V, Current: 0.88A, Signal_Strength: -75dBm, Antenna_Angle: 15.85°, Roll: 1.55°, Pitch: -1.65°, Yaw: 227.98°, Packets_Sent: 1987, Status: OK
[2025-01-01 01:41:00] Temperature: 15.2°C, Voltage: 3.67V, Current: 0.53A, Signal_Strength: -49dBm, Antenna_Angle: 211.19°, Roll: 1.95°, Pitch: -1.77°, Yaw: 266.67°, Packets_Sent: 1142, Status: OK
[2025-01-01 01:42:00] Temperature: 19.3°C, Voltage: 3.50V, Current: 1.07A, Signal_Strength: -65dBm, Antenna_Angle: 247.87°, Roll: 1.03°, Pitch: 0.27°, Yaw: 250.59°, Packets_Sent: 1842, Status: OK
[2025-01-01 01:43:00] Temperature: 40.7°C, Voltage: 3.68V, Current: 1.31A, Signal_Strength: -46dBm, Antenna_Angle: 15.00°, Roll: -0.28°, Pitch: -1.47°, Yaw: 348.11°, Packets_Sent: 1992, Status: OK
[2025-01-01 01:44:00] Temperature: 39.4°C, Voltage: 3.65V, Current: 0.72A, Signal_Strength: -65dBm, Antenna_Angle: 292.07°, Roll: -1.82°, Pitch: -0.86°, Yaw: 200.46°, Packets_Sent: 1180, Status: OK
[2025-01-01 01:45:00] Temperature: 35.8°C, Voltage: 3.82V, Current: 0.65A, Signal_Strength: -72dBm, Antenna_Angle: 200.67°, Roll: 0.87°, Pitch: 0.38°, Yaw: 125.23°, Packets_Sent: 1147, Status: OK
[2025-01-01 01:46:00] Temperature: 21.3°C, Voltage: 3.80V, Current: 1.33A, Signal_Strength: -52dBm, Antenna_Angle: 143.33°, Roll: -1.37°, Pitch: -1.33°, Yaw: 285.90°, Packets_Sent: 1731, Status: OK
[2025-01-01 01:47:00] Temperature: 18.7°C, Voltage: 3.70V, Current: 0.46A, Signal_Strength: -54dBm, Antenna_Angle: 136.76°, Roll: 1.88°, Pitch: -0.37°, Yaw: 291.90°, Packets_Sent: 1380, Status: OK
[2025-01-01 01:48:00] Temperature: 24.3°C, Voltage: 3.62V, Current: 0.89A, Signal_Strength: -66dBm, Antenna_Angle: 310.92°, Roll: 1.03°, Pitch: 1.61°, Yaw: 146.19°, Packets_Sent: 1215, Status: OK
[2025-01-01 01:49:00] Temperature: 25.6°C, Voltage: 3.85V, Current: 0.80A, Signal_Strength: -64dBm, Antenna_Angle: 25.56°, Roll: 0.72°, Pitch: -1.73°, Yaw: 82.94°, Packets_Sent: 1307, Status: OK
