--- Cartosat-2C Logs ---
[2025-01-01 00:00:00] Temperature: 34.2°C, Voltage: 3.46V, Current: 0.70A, Signal_Strength: -68dBm, Antenna_Angle: 265.12°, Roll: 0.36°, Pitch: -1.87°, Yaw: 33.73°, Packets_Sent: 1078, Status: OK
[2025-01-01 00:12:00] Temperature: 33.3°C, Voltage: 3.51V, Current: 1.24A, Signal_Strength: -59dBm, Antenna_Angle: 280.30°, Roll: 1.67°, Pitch: 0.40°, Yaw: 175.89°, Packets_Sent: 1986, Status: OK
[2025-01-01 00:13:00] Temperature: 25.9°C, Voltage: 3.84V, Current: 1.29A, Signal_Strength: -68dBm, Antenna_Angle: 86.71°, Roll: -1.66°, Pitch: -0.06°, Yaw: 24.92°, Packets_Sent: 1061, Status: OK
[2025-01-01 00:14:00] Temperature: 38.0°C, Voltage: 3.50V, Current: 0.92A, Signal_Strength: -59dBm, Antenna_Angle: 95.42°, Roll: 1.86°, Pitch: 1.72°, Yaw: 271.89°, Packets_Sent: 1766, Status: OK
[2025-01-01 00:15:00] Temperature: 36.4°C, Voltage: 3.61V, Current: 1.14A, Signal_Strength: -64dBm, Antenna_Angle: 323.85°, Roll: -1.52°, Pitch: -1.10°, Yaw: 121.71°, Packets_Sent: 1824, Status: OK
[2025-01-01 00:16:00] Temperature: 21.9°C, Voltage: 3.54V, Current: 0.48A, Signal_Strength: -56dBm, Antenna_Angle: 82.42°, Roll: 1.44°, Pitch: -1.72°, Yaw: 85.68°, Packets_Sent: 964, Status: OK
[2025-01-01 00:17:00] Temperature: 21.4°C, Voltage: 3.50V, Current: 1.43A, Signal_Strength: -58dBm, Antenna_Angle: 170.16°, Roll: 1.23°, Pitch: -1.24°, Yaw: 34.89°, Packets_Sent: 1868, Status: OK
[2025-01-01 00:18:00] Temperature: 27.7°C, Voltage: 3.64V, Current: 1.20A, Signal_Strength: -55dBm, Antenna_Angle: 354.29°, Roll: -1.76°, Pitch: 0.91°, Yaw: 288.21°, Packets_Sent: 1101, Status: OK
[2025-01-01 00:19:00] Temperature: 89.4°C, Voltage: 3.66V, Current: 0.55A, Signal_Strength: -69dBm, Antenna_Angle: 166.54°, Roll: -0.23°, Pitch: 1.45°, Yaw: 198.11°, Packets_Sent: 1054, Status: Critical
[2025-01-01 00:20:00] Temperature: 42.8°C, Voltage: 3.79V, Current: 0.58A, Signal_Strength: -60dBm, Antenna_Angle: 76.95°, Roll: 1.61°, Pitch: -1.34°, Yaw: 0.78°, Packets_Sent: 1721, Status: OK
[2025-01-01 00:21:00] Temperature: 42.8°C, Voltage: 3.76V, Current: 0.71A, Signal_Strength: -54dBm, Antenna_Angle: 262.97°, Roll: -1.38°, Pitch: -0.81°, Yaw: 348.73°, Packets_Sent: 1896, Status: OK
[2025-01-01 00:22:00] Temperature: 31.3°C, Voltage: 3.75V, Current: 0.46A, Signal_Strength: -57dBm, Antenna_Angle: 181.02°, Roll: -1.37°, Pitch: 1.84°, Yaw: 28.84°, Packets_Sent: 1987, Status: OK
[2025-01-01 00:23:00] Temperature: 32.9°C, Voltage: 3.72V, Current: 0.66A, Signal_Strength: -71dBm, Antenna_Angle: 320.49°, Roll: 0.32°, Pitch: -1.84°, Yaw: 29.51°, Packets_Sent: 1404, Status: OK
[2025-01-01 00:24:00] Temperature: 32.0°C, Voltage: 3.58V, Current: 0.69A, Signal_Strength: -55dBm, Antenna_Angle: 113.10°, Roll: -0.42°, Pitch: 0.69°, Yaw: 108.00°, Packets_Sent: 1443, Status: OK
[2025-01-01 00:25:00] Temperature: 37.6°C, Voltage: 3.48V, Current: 0.90A, Signal_Strength: -45dBm, Antenna_Angle: 358.58°, Roll: 0.15°, Pitch: 0.02°, Yaw: 47.68°, Packets_Sent: 1050, Status: OK
[2025-01-01 00:26:00] Temperature: 17.1°C, Voltage: 3.55V, Current: 0.71A, Signal_Strength: -93dBm, Antenna_Angle: 195.55°, Roll: 0.45°, Pitch: 1.95°, Yaw: 235.42°, Packets_Sent: 1519, Status: Warning
[2025-01-01 00:27:00] Temperature: 18.1°C, Voltage: 3.80V, Current: 0.69A, Signal_Strength: -48dBm, Antenna_Angle: 267.26°, Roll: -0.91°, Pitch: 0.42°, Yaw: 258.33°, Packets_Sent: 1218, Status: OK
[2025-01-01 00:28:00] Temperature: 34.0°C, Voltage: 3.56V, Current: 0.94A, Signal_Strength: -48dBm, Antenna_Angle: 304.59°, Roll: 0.54°, Pitch: 1.32°, Yaw: 15.87°, Packets_Sent: 1089, Status: OK
[2025-01-01 00:29:00] Temperature: 18.9°C, Voltage: 3.84V, Current: 0.58A, Signal_Strength: -62dBm, Antenna_Angle: 254.03°, Roll: -1.55°, Pitch: 1.78°, Yaw: 248.76°, Packets_Sent: 919, Status: OK
[2025-01-01 00:30:00] Temperature: 16.1°C, Voltage: 3.60V, Current: 1.01A, Signal_Strength: -62dBm, Antenna_Angle: 15.06°, Roll: 1.60°, Pitch: 1.18°, Yaw: 309.84°, Packets_Sent: 1646, Status: OK
[2025-01-01 00:31:00] Temperature: 21.3°C, Voltage: 3.55V, Current: 0.51A, Signal_Strength: -52dBm, Antenna_Angle: 318.28°, Roll: 1.90°, Pitch: 1.00°, Yaw: 333.27°, Packets_Sent: 1732, Status: OK
[2025-01-01 00:32:00] Temperature: 19.9°C, Voltage: 3.77V, Current: 0.59A, Signal_Strength: -63dBm, Antenna_Angle: 64.57°, Roll: 1.13°, Pitch: -0.35°, Yaw: 241.16°, Packets_Sent: 1580, Status: OK
[2025-01-01 00:33:00] Temperature: 22.4°C, Voltage: 3.51V, Current: 1.17A, Signal_Strength: -64dBm, Antenna_Angle: 13.94°, Roll: -1.11°, Pitch: 1.27°, Yaw: 165.70°, Packets_Sent: 1863, Status: OK
[2025-01-01 00:34:00] Temperature: 38.9°C, Voltage: 3.54V, Current: 0.43A, Signal_Strength: -69dBm, Antenna_Angle: 118.17°, Roll: 1.87°, Pitch: -0.88°, Yaw: 230.93°, Packets_Sent: 1042, Status: OK
[2025-01-01 00:35:00] Temperature: 44.4°C, Voltage: 3.66V, Current: 1.43A, Signal_Strength: -72dBm, Antenna_Angle: 349.33°, Roll: 0.32°, Pitch: 1.93°, Yaw: 13.77°, Packets_Sent: 1265, Status: OK
[2025-01-01 00:36:00] Temperature: 25.4°C, Voltage: 3.76V, Current: 0.88A, Signal_Strength: -45dBm, Antenna_Angle: 41.63°, Roll: -0.98°, Pitch: 0.84°, Yaw: 0.61°, Packets_Sent: 1289, Status: OK
[2025-01-01 00:37:00] Temperature: 31.2°C, Voltage: 3.74V, Current: 1.22A, Signal_Strength: -55dBm, Antenna_Angle: 131.12°, Roll: 1.80°, Pitch: 1.68°, Yaw: 224.33°, Packets_Sent: 1043, Status: OK
[2025-01-01 00:38:00] Temperature: 18.7°C, Voltage: 3.81V, Current: 0.96A, Signal_Strength: -55dBm, Antenna_Angle: 117.42°, Roll: 0.22°, Pitch: -1.23°, Yaw: 239.37°, Packets_Sent: 1505, Status: OK
[2025-01-01 00:39:00] Temperature: 37.4°C, Voltage: 3.52V, Current: 1.03A, Signal_Strength: -63dBm, Antenna_Angle: 300.13°, Roll: -0.85°, Pitch: -0.28°, Yaw: 208.79°, Packets_Sent: 1522, Status: OK
[2025-01-01 00:40:00] Temperature: 28.9°C, Voltage: 3.63V, Current: 0.64A, Signal_Strength: -61dBm, Antenna_Angle: 324.42°, Roll: 0.64°, Pitch: -0.86°, Yaw: 238.98°, Packets_Sent: 1247, Status: OK
[2025-01-01 00:41:00] Temperature: 17.8°C, Voltage: 3.83V, Current: 0.66A, Signal_Strength: -66dBm, Antenna_Angle: 290.35°, Roll: -1.90°, Pitch: -1.02°, Yaw: 171.04°, Packets_Sent: 1201, Status: OK
[2025-01-01 00:42:00] Temperature: 17.2°C, Voltage: 3.62V, Current: 1.09A, Signal_Strength: -69dBm, Antenna_Angle: 250.68°, Roll: -0.40°, Pitch: -1.41°, Yaw: 247.54°, Packets_Sent: 1912, Status: OK
[2025-01-01 00:43:00] Temperature: 40.8°C, Voltage: 3.80V, Current: 1.26A, Signal_Strength: -68dBm, Antenna_Angle: 289.47°, Roll: -0.14°, Pitch: 0.23°, Yaw: 330.28°, Packets_Sent: 1960, Status: OK
[2025-01-01 00:44:00] Temperature: 19.0°C, Voltage: 3.64V, Current: 0.98A, Signal_Strength: -58dBm, Antenna_Angle: 114.22°, Roll: 0.45°, Pitch: 0.88°, Yaw: 181.72°, Packets_Sent: 1806, Status: OK
[2025-01-01 00:45:00] Temperature: 31.4°C, Voltage: 3.81V, Current: 1.22A, Signal_Strength: -61dBm, Antenna_Angle: 93.31°, Roll: 1.36°, Pitch: -0.89°, Yaw: 279.96°, Packets_Sent: 1406, Status: OK
[2025-01-01 00:46:00] Temperature: 22.2°C, Voltage: 3.63V, Current: 1.18A, Signal_Strength: -68dBm, Antenna_Angle: 120.90°, Roll: -1.45°, Pitch: -1.07°, Yaw: 249.81°, Packets_Sent: 1065, Status: OK
[2025-01-01 00:47:00] Temperature: 84.5°C, Voltage: 3.17V, Current: 1.00A, Signal_Strength: -106dBm, Antenna_Angle: 74.46°, Roll: -0.44°, Pitch: 1.08°, Yaw: 340.57°, Packets_Sent: 1760, Status: Critical
[2025-01-01 00:48:00] Temperature: 26.7°C, Voltage: 3.81V, Current: 1.32A, Signal_Strength: -59dBm, Antenna_Angle: 264.46°, Roll: -0.05°, Pitch: -0.91°, Yaw: 174.83°, Packets_Sent: 1351, Status: OK
[2025-01-01 00:49:00] Temperature: 77.7°C, Voltage: 2.88V, Current: 1.20A, Signal_Strength: -109dBm, Antenna_Angle: 331.03°, Roll: -1.89°, Pitch: -0.42°, Yaw: 203.18°, Packets_Sent: 1993, Status: Critical
[2025-01-01 00:50:00] Temperature: 26.4°C, Voltage: 3.53V, Current: 0.76A, Signal_Strength: -52dBm, Antenna_Angle: 136.48°, Roll: -0.99°, Pitch: -1.67°, Yaw: 6.98°, Packets_Sent: 1763, Status: OK
[2025-01-01 00:51:00] Temperature: 45.0°C, Voltage: 3.59V, Current: 1.12A, Signal_Strength: -52dBm, Antenna_Angle: 234.63°, Roll: 1.80°, Pitch: -1.20°, Yaw: 7.34°, Packets_Sent: 963, Status: OK
[2025-01-01 00:52:00] Temperature: 18.8°C, Voltage: 3.72V, Current: 1.02A, Signal_Strength: -68dBm, Antenna_Angle: 251.80°, Roll: -1.33°, Pitch: 0.43°, Yaw: 269.25°, Packets_Sent: 1655, Status: OK
[2025-01-01 00:53:00] Temperature: 39.6°C, Voltage: 3.84V, Current: 0.52A, Signal_Strength: -74dBm, Antenna_Angle: 112.30°, Roll: -0.41°, Pitch: 0.86°, Yaw: 27.36°, Packets_Sent: 1668, Status: OK
[2025-01-01 00:54:00] Temperature: 33.8°C, Voltage: 3.49V, Current: 1.25A, Signal_Strength: -49dBm, Antenna_Angle: 216.14°, Roll: 1.18°, Pitch: 0.26°, Yaw: 14.78°, Packets_Sent: 1147, Status: OK
[2025-01-01 00:55:00] Temperature: 34.8°C, Voltage: 3.48V, Current: 1.11A, Signal_Strength: -75dBm, Antenna_Angle: 151.22°, Roll: -1.58°, Pitch: 1.84°, Yaw: 228.80°, Packets_Sent: 1903, Status: OK
[2025-01-01 00:56:00] Temperature: 36.2°C, Voltage: 3.62V, Current: 1.21A, Signal_Strength: -46dBm, Antenna_Angle: 97.23°, Roll: -0.14°, Pitch: 1.30°, Yaw: 213.28°, Packets_Sent: 1890, Status: OK
[2025-01-01 00:57:00] Temperature: 22.4°C, Voltage: 3.82V, Current: 0.71A, Signal_Strength: -61dBm, Antenna_Angle: 270.16°, Roll: -0.65°, Pitch: -0.02°, Yaw: 117.00°, Packets_Sent: 1676, Status: OK
[2025-01-01 00:58:00] Temperature: 25.6°C, Voltage: 3.55V, Current: 0.71A, Signal_Strength: -57dBm, Antenna_Angle: 316.83°, Roll: 0.07°, Pitch: -1.24°, Yaw: 86.89°, Packets_Sent: 920, Status: OK
[2025-01-01 00:59:00] Temperature: 31.7°C, Voltage: 3.55V, Current: 0.92A, Signal_Strength: -54dBm, Antenna_Angle: 161.34°, Roll: -1.63°, Pitch: -1.11°, Yaw: 249.04°, Packets_Sent: 935, Status: OK
[2025-01-01 01:00:00] Temperature: 32.4°C, Voltage: 3.64V, Current: 0.98A, Signal_Strength: -62dBm, Antenna_Angle: 268.53°, Roll: -0.59°, Pitch: -0.19°, Yaw: 110.38°, Packets_Sent: 1577, Status: OK
[2025-01-01 01:01:00] Temperature: 36.6°C, Voltage: 3.58V, Current: 1.22A, Signal_Strength: -46dBm, Antenna_Angle: 248.45°, Roll: -1.13°, Pitch: -0.06°, Yaw: 260.84°, Packets_Sent: 1292, Status: OK
[2025-01-01 01:02:00] Temperature: 82.0°C, Voltage: 3.56V, Current: 0.51A, Signal_Strength: -69dBm, Antenna_Angle: 81.89°, Roll: -0.79°, Pitch: 0.83°, Yaw: 45.57°, Packets_Sent: 1267, Status: Critical
[2025-01-01 01:03:00] Temperature: 77.3°C, Voltage: 2.64V, Current: 1.36A, Signal_Strength: -103dBm, Antenna_Angle: 314.17°, Roll: -0.12°, Pitch: -0.24°, Yaw: 66.37°, Packets_Sent: 1482, Status: Critical
[2025-01-01 01:04:00] Temperature: 32.3°C, Voltage: 3.72V, Current: 0.57A, Signal_Strength: -51dBm, Antenna_Angle: 341.68°, Roll: 1.98°, Pitch: -1.53°, Yaw: 275.19°, Packets_Sent: 1074, Status: OK
[2025-01-01 01:05:00] Temperature: 38.7°C, Voltage: 3.54V, Current: 0.97A, Signal_Strength: -61dBm, Antenna_Angle: 159.38°, Roll: -0.78°, Pitch: 0.48°, Yaw: 219.46°, Packets_Sent: 1778, Status: OK
[2025-01-01 01:06:00] Temperature: 43.4°C, Voltage: 3.53V, Current: 0.63A, Signal_Strength: -55dBm, Antenna_Angle: 56.54°, Roll: 0.21°, Pitch: -1.37°, Yaw: 147.06°, Packets_Sent: 1255, Status: OK
[2025-01-01 01:07:00] Temperature: 29.1°C, Voltage: 3.46V, Current: 0.72A, Signal_Strength: -67dBm, Antenna_Angle: 309.45°, Roll: 0.75°, Pitch: 1.70°, Yaw: 283.61°, Packets_Sent: 1045, Status: OK
[2025-01-01 01:08:00] Temperature: 34.8°C, Voltage: 3.82V, Current: 0.87A, Signal_Strength: -59dBm, Antenna_Angle: 233.14°, Roll: 1.31°, Pitch: -1.71°, Yaw: 59.73°, Packets_Sent: 1444, Status: OK
[2025-01-01 01:09:00] Temperature: 37.5°C, Voltage: 3.68V, Current: 0.72A, Signal_Strength: -71dBm, Antenna_Angle: 247.92°, Roll: 1.77°, Pitch: 0.00°, Yaw: 177.76°, Packets_Sent: 1724, Status: OK
[2025-01-01 01:10:00] Temperature: 16.2°C, Voltage: 2.96V, Current: 0.75A, Signal_Strength: -67dBm, Antenna_Angle: 32.88°, Roll: 2.00°, Pitch: 0.69°, Yaw: 97.02°, Packets_Sent: 942, Status: Critical
[2025-01-01 01:11:00] Temperature: 34.5°C, Voltage: 3.82V, Current: 0.60A, Signal_Strength: -57dBm, Antenna_Angle: 228.52°, Roll: 1.88°, Pitch: -0.12°, Yaw: 147.00°, Packets_Sent: 1907, Status: OK
[2025-01-01 01:12:00] Temperature: 18.1°C, Voltage: 3.51V, Current: 0.85A, Signal_Strength: -60dBm, Antenna_Angle: 238.52°, Roll: 1.25°, Pitch: 0.20°, Yaw: 163.73°, Packets_Sent: 1720, Status: OK
[2025-01-01 01:13:00] Temperature: 24.7°C, Voltage: 3.84V, Current: 0.84A, Signal_Strength: -60dBm, Antenna_Angle: 355.71°, Roll: -0.35°, Pitch: -1.25°, Yaw: 130.24°, Packets_Sent: 1846, Status: OK
[2025-01-01 01:14:00] Temperature: 33.8°C, Voltage: 3.75V, Current: 0.62A, Signal_Strength: -59dBm, Antenna_Angle: 333.95°, Roll: 1.52°, Pitch: -0.06°, Yaw: 10.39°, Packets_Sent: 1797, Status: OK
[2025-01-01 01:15:00] Temperature: 39.0°C, Voltage: 3.73V, Current: 0.74A, Signal_Strength: -75dBm, Antenna_Angle: 146.87°, Roll: 1.97°, Pitch: 1.65°, Yaw: 166.12°, Packets_Sent: 1360, Status: OK
[2025-01-01 01:16:00] Temperature: 40.0°C, Voltage: 3.65V, Current: 1.19A, Signal_Strength: -60dBm, Antenna_Angle: 98.43°, Roll: 1.92°, Pitch: -1.03°, Yaw: 198.45°, Packets_Sent: 1888, Status: OK
[2025-01-01 01:17:00] Temperature: 42.7°C, Voltage: 3.65V, Current: 1.37A, Signal_Strength: -94dBm, Antenna_Angle: 99.45°, Roll: -0.64°, Pitch: 1.15°, Yaw: 96.18°, Packets_Sent: 1749, Status: Warning
[2025-01-01 01:18:00] Temperature: 32.4°C, Voltage: 3.71V, Current: 1.35A, Signal_Strength: -62dBm, Antenna_Angle: 174.36°, Roll: 0.21°, Pitch: 0.17°, Yaw: 163.92°, Packets_Sent: 1580, Status: OK
[2025-01-01 01:19:00] Temperature: 20.7°C, Voltage: 3.73V, Current: 1.03A, Signal_Strength: -68dBm, Antenna_Angle: 279.19°, Roll: -0.73°, Pitch: -0.11°, Yaw: 328.83°, Packets_Sent: 989, Status: OK
[2025-01-01 01:20:00] Temperature: 44.7°C, Voltage: 3.77V, Current: 1.12A, Signal_Strength: -70dBm, Antenna_Angle: 347.33°, Roll: 0.01°, Pitch: 0.36°, Yaw: 313.08°, Packets_Sent: 1158, Status: OK
[2025-01-01 01:21:00] Temperature: 28.2°C, Voltage: 3.66V, Current: 0.90A, Signal_Strength: -53dBm, Antenna_Angle: 147.59°, Roll: -1.70°, Pitch: 1.13°, Yaw: 95.41°, Packets_Sent: 1216, Status: OK
[2025-01-01 01:22:00] Temperature: 26.9°C, Voltage: 3.48V, Current: 0.76A, Signal_Strength: -55dBm, Antenna_Angle: 192.10°, Roll: 0.51°, Pitch: 1.55°, Yaw: 175.66°, Packets_Sent: 1548, Status: OK
[2025-01-01 01:23:00] Temperature: 33.5°C, Voltage: 3.54V, Current: 1.15A, Signal_Strength: -66dBm, Antenna_Angle: 81.89°, Roll: -0.26°, Pitch: -1.61°, Yaw: 228.14°, Packets_Sent: 1085, Status: OK
[2025-01-01 01:24:00] Temperature: 28.3°C, Voltage: 3.73V, Current: 1.39A, Signal_Strength: -74dBm, Antenna_Angle: 286.60°, Roll: -0.57°, Pitch: -0.28°, Yaw: 87.91°, Packets_Sent: 1500, Status: OK
[2025-01-01 01:25:00] Temperature: 35.5°C, Voltage: 3.52V, Current: 0.59A, Signal_Strength: -57dBm, Antenna_Angle: 137.71°, Roll: -0.01°, Pitch: 0.33°, Yaw: 83.59°, Packets_Sent: 1393, Status: OK
[2025-01-01 01:26:00] Temperature: 28.8°C, Voltage: 3.72V, Current: 1.39A, Signal_Strength: -61dBm, Antenna_Angle: 103.54°, Roll: -1.70°, Pitch: 1.78°, Yaw: 355.54°, Packets_Sent: 1223, Status: OK
[2025-01-01 01:27:00] Temperature: 43.9°C, Voltage: 3.73V, Current: 0.90A, Signal_Strength: -66dBm, Antenna_Angle: 359.76°, Roll: -1.57°, Pitch: -0.47°, Yaw: 129.22°, Packets_Sent: 1889, Status: OK
[2025-01-01 01:28:00] Temperature: 36.0°C, Voltage: 3.46V, Current: 1.31A, Signal_Strength: -63dBm, Antenna_Angle: 2.92°, Roll: 1.64°, Pitch: 0.98°, Yaw: 299.81°, Packets_Sent: 1000, Status: OK
[2025-01-01 01:29:00] Temperature: 38.3°C, Voltage: 3.54V, Current: 1.28A, Signal_Strength: -68dBm, Antenna_Angle: 68.45°, Roll: 0.71°, Pitch: 0.88°, Yaw: 237.30°, Packets_Sent: 1413, Status: OK
[2025-01-01 01:30:00] Temperature: 33.8°C, Voltage: 3.81V, Current: 1.11A, Signal_Strength: -66dBm, Antenna_Angle: 158.69°, Roll: 0.93°, Pitch: -1.64°, Yaw: 106.24°, Packets_Sent: 1647, Status: OK
[2025-01-01 01:31:00] Temperature: 20.3°C, Voltage: 3.50V, Current: 0.99A, Signal_Strength: -46dBm, Antenna_Angle: 191.10°, Roll: 1.32°, Pitch: -0.97°, Yaw: 296.88°, Packets_Sent: 1458, Status: OK
[2025-01-01 01:32:00] Temperature: 39.2°C, Voltage: 3.75V, Current: 0.77A, Signal_Strength: -72dBm, Antenna_Angle: 346.63°, Roll: 1.02°, Pitch: -1.10°, Yaw: 243.47°, Packets_Sent: 1188, Status: OK
[2025-01-01 01:33:00] Temperature: 26.9°C, Voltage: 3.79V, Current: 1.01A, Signal_Strength: -72dBm, Antenna_Angle: 142.04°, Roll: 0.15°, Pitch: -0.18°, Yaw: 242.21°, Packets_Sent: 1441, Status: OK
[2025-01-01 01:34:00] Temperature: 32.5°C, Voltage: 3.78V, Current: 1.43A, Signal_Strength: -72dBm, Antenna_Angle: 84.17°, Roll: 0.48°, Pitch: 1.77°, Yaw: 118.08°, Packets_Sent: 951, Status: OK
[2025-01-01 01:35:00] Temperature: 34.4°C, Voltage: 3.70V, Current: 0.91A, Signal_Strength: -54dBm, Antenna_Angle: 233.72°, Roll: -1.44°, Pitch: 1.79°, Yaw: 109.57°, Packets_Sent: 1138, Status: OK
[2025-01-01 01:36:00] Temperature: 17.9°C, Voltage: 3.80V, Current: 0.55A, Signal_Strength: -61dBm, Antenna_Angle: 241.37°, Roll: 0.35°, Pitch: 0.91°, Yaw: 318.74°, Packets_Sent: 1758, Status: OK
[2025-01-01 01:37:00] Temperature: 40.0°C, Voltage: 3.70V, Current: 1.43A, Signal_Strength: -67dBm, Antenna_Angle: 248.49°, Roll: -0.23°, Pitch: 1.80°, Yaw: 307.95°, Packets_Sent: 1344, Status: OK
[2025-01-01 01:38:00] Temperature: 35.6°C, Voltage: 3.67V, Current: 1.48A, Signal_Strength: -64dBm, Antenna_Angle: 143.33°, Roll: 1.87°, Pitch: 1.80°, Yaw: 296.70°, Packets_Sent: 1288, Status: OK
[2025-01-01 01:39:00] Temperature: 21.4°C, Voltage: 3.71V, Current: 1.47A, Signal_Strength: -73dBm, Antenna_Angle: 120.06°, Roll: 1.15°, Pitch: -1.18°, Yaw: 298.73°, Packets_Sent: 1157, Status: OK
[2025-01-01 01:40:00] Temperature: 32.6°C, Voltage: 3.78V, Current: 0.66A, Signal_Strength: -52dBm, Antenna_Angle: 283.90°, Roll: -0.89°, Pitch: 1.94°, Yaw: 355.50°, Packets_Sent: 905, Status: OK
[2025-01-01 01:41:00] Temperature: 39.0°C, Voltage: 3.49V, Current: 1.35A, Signal_Strength: -71dBm, Antenna_Angle: 128.96°, Roll: 0.36°, Pitch: -1.94°, Yaw: 95.53°, Packets_Sent: 1387, Status: OK
[2025-01-01 01:42:00] Temperature: 27.6°C, Voltage: 3.50V, Current: 0.47A, Signal_Strength: -62dBm, Antenna_Angle: 130.33°, Roll: -0.19°, Pitch: -1.11°, Yaw: 221.43°, Packets_Sent: 1123, Status: OK
[2025-01-01 01:43:00] Temperature: 42.3°C, Voltage: 3.71V, Current: 0.73A, Signal_Strength: -56dBm, Antenna_Angle: 11.21°, Roll: 1.39°, Pitch: -0.29°, Yaw: 38.87°, Packets_Sent: 1880, Status: OK
[2025-01-01 01:44:00] Temperature: 28.3°C, Voltage: 3.81V, Current: 0.75A, Signal_Strength: -71dBm, Antenna_Angle: 45.43°, Roll: -0.48°, Pitch: 0.39°, Yaw: 106.16°, Packets_Sent: 1565, Status: OK
[2025-01-01 01:45:00] Temperature: 27.9°C, Voltage: 3.77V, Current: 0.53A, Signal_Strength: -55dBm, Antenna_Angle: 315.97°, Roll: -0.28°, Pitch: 1.55°, Yaw: 148.97°, Packets_Sent: 1340, Status: OK
[2025-01-01 01:46:00] Temperature: 27.0°C, Voltage: 3.74V, Current: 0.74A, Signal_Strength: -66dBm, Antenna_Angle: 91.76°, Roll: 0.75°, Pitch: -0.10°, Yaw: 32.84°, Packets_Sent: 1212, Status: OK
[2025-01-01 01:47:00] Temperature: 28.0°C, Voltage: 3.75V, Current: 0.81A, Signal_Strength: -71dBm, Antenna_Angle: 21.59°, Roll: 0.68°, Pitch: -0.36°, Yaw: 314.49°, Packets_Sent: 1575, Status: OK
[2025-01-01 01:48:00] Temperature: 27.7°C, Voltage: 3.82V, Current: 0.46A, Signal_Strength: -66dBm, Antenna_Angle: 112.48°, Roll: 0.31°, Pitch: -1.15°, Yaw: 236.42°, Packets_Sent: 1112, Status: OK
[2025-01-01 01:49:00] Temperature: 18.2°C, Voltage: 3.79V, Current: 0.80A, Signal_Strength: -52dBm, Antenna_Angle: 206.67°, Roll: 1.38°, Pitch: 1.90°, Yaw: 294.63°, Packets_Sent: 1778, Status: OK
