--- EMISAT Logs ---
[2025-01-01 00:00:00] Temperature: 25.1°C, Voltage: 3.59V, Current: 0.80A, Signal_Strength: -45dBm, Antenna_Angle: 198.89°, Roll: 0.29°, Pitch: -0.97°, Yaw: 26.37°, Packets_Sent: 1662, Status: OK
[2025-01-01 00:34:00] Temperature: 23.0°C, Voltage: 3.65V, Current: 1.46A, Signal_Strength: -59dBm, Antenna_Angle: 274.08°, Roll: -0.23°, Pitch: 0.92°, Yaw: 184.42°, Packets_Sent: 1517, Status: OK
[2025-01-01 00:35:00] Temperature: 15.3°C, Voltage: 3.55V, Current: 1.33A, Signal_Strength: -64dBm, Antenna_Angle: 76.70°, Roll: 0.64°, Pitch: 0.76°, Yaw: 2.61°, Packets_Sent: 1572, Status: OK
[2025-01-01 00:36:00] Temperature: 22.9°C, Voltage: 3.50V, Current: 0.60A, Signal_Strength: -73dBm, Antenna_Angle: 3.56°, Roll: 1.47°, Pitch: 0.22°, Yaw: 294.89°, Packets_Sent: 1141, Status: OK
[2025-01-01 00:37:00] Temperature: 34.9°C, Voltage: 3.61V, Current: 1.48A, Signal_Strength: -68dBm, Antenna_Angle: 341.35°, Roll: -0.03°, Pitch: 0.08°, Yaw: 268.59°, Packets_Sent: 1776, Status: OK
[2025-01-01 00:38:00] Temperature: 23.0°C, Voltage: 3.55V, Current: 0.69A, Signal_Strength: -74dBm, Antenna_Angle: 202.30°, Roll: 1.99°, Pitch: 0.35°, Yaw: 8.62°, Packets_Sent: 1546, Status: OK
[2025-01-01 00:39:00] Temperature: 44.2°C, Voltage: 3.46V, Current: 1.09A, Signal_Strength: -64dBm, Antenna_Angle: 1.83°, Roll: -1.38°, Pitch: 0.48°, Yaw: 281.24°, Packets_Sent: 1600, Status: OK
[2025-01-01 00:40:00] Temperature: 25.8°C, Voltage: 3.53V, Current: 1.40A, Signal_Strength: -74dBm, Antenna_Angle: 46.92°, Roll: -0.48°, Pitch: -1.12°, Yaw: 345.37°, Packets_Sent: 1723, Status: OK
[2025-01-01 00:41:00] Temperature: 20.0°C, Voltage: 3.55V, Current: 1.33A, Signal_Strength: -63dBm, Antenna_Angle: 95.30°, Roll: 1.91°, Pitch: -1.88°, Yaw: 215.00°, Packets_Sent: 906, Status: OK
[2025-01-01 00:42:00] Temperature: 39.1°C, Voltage: 3.56V, Current: 1.27A, Signal_Strength: -73dBm, Antenna_Angle: 64.80°, Roll: -1.17°, Pitch: -1.35°, Yaw: 42.29°, Packets_Sent: 1848, Status: OK
[2025-01-01 00:43:00] Temperature: 33.8°C, Voltage: 3.59V, Current: 0.50A, Signal_Strength: -46dBm, Antenna_Angle: 117.49°, Roll: -0.83°, Pitch: -1.20°, Yaw: 239.14°, Packets_Sent: 945, Status: OK
[2025-01-01 00:44:00] Temperature: 36.0°C, Voltage: 3.20V, Current: 1.16A, Signal_Strength: -63dBm, Antenna_Angle: 186.18°, Roll: -0.80°, Pitch: 1.50°, Yaw: 281.43°, Packets_Sent: 1013, Status: Warning
[2025-01-01 00:45:00] Temperature: 16.7°C, Voltage: 3.83V, Current: 0.73A, Signal_Strength: -66dBm, Antenna_Angle: 161.38°, Roll: -0.56°, Pitch: 1.03°, Yaw: 174.74°, Packets_Sent: 1957, Status: OK
[2025-01-01 00:46:00] Temperature: 21.1°C, Voltage: 3.77V, Current: 1.44A, Signal_Strength: -70dBm, Antenna_Angle: 299.16°, Roll: 0.55°, Pitch: -0.69°, Yaw: 189.45°, Packets_Sent: 1574, Status: OK
[2025-01-01 00:47:00] Temperature: 40.7°C, Voltage: 3.66V, Current: 0.93A, Signal_Strength: -49dBm, Antenna_Angle: 67.60°, Roll: 1.48°, Pitch: -0.25°, Yaw: 98.81°, Packets_Sent: 1955, Status: OK
[2025-01-01 00:48:00] Temperature: 25.7°C, Voltage: 3.83V, Current: 0.95A, Signal_Strength: -69dBm, Antenna_Angle: 130.44°, Roll: 0.74°, Pitch: 1.10°, Yaw: 282.03°, Packets_Sent: 1856, Status: OK
[2025-01-01 00:49:00] Temperature: 17.4°C, Voltage: 3.81V, Current: 1.05A, Signal_Strength: -68dBm, Antenna_Angle: 337.26°, Roll: 0.30°, Pitch: 0.91°, Yaw: 306.85°, Packets_Sent: 1153, Status: OK
[2025-01-01 00:50:00] Temperature: 40.3°C, Voltage: 3.55V, Current: 0.95A, Signal_Strength: -63dBm, Antenna_Angle: 243.07°, Roll: -1.94°, Pitch: 0.83°, Yaw: 105.90°, Packets_Sent: 1593, Status: OK
[2025-01-01 00:51:00] Temperature: 32.6°C, Voltage: 3.50V, Current: 1.18A, Signal_Strength: -105dBm, Antenna_Angle: 10.96°, Roll: 0.62°, Pitch: -0.85°, Yaw: 256.26°, Packets_Sent: 1178, Status: Critical
[2025-01-01 00:52:00] Temperature: 43.0°C, Voltage: 3.62V, Current: 1.42A, Signal_Strength: -65dBm, Antenna_Angle: 126.82°, Roll: -0.53°, Pitch: -0.67°, Yaw: 183.88°, Packets_Sent: 1330, Status: OK
[2025-01-01 00:53:00] Temperature: 30.2°C, Voltage: 3.73V, Current: 1.13A, Signal_Strength: -62dBm, Antenna_Angle: 279.34°, Roll: -0.21°, Pitch: 1.35°, Yaw: 225.92°, Packets_Sent: 1514, Status: OK
[2025-01-01 00:54:00] Temperature: 23.1°C, Voltage: 3.68V, Current: 0.60A, Signal_Strength: -66dBm, Antenna_Angle: 254.89°, Roll: -1.13°, Pitch: -0.21°, Yaw: 306.54°, Packets_Sent: 1158, Status: OK
[2025-01-01 00:55:00] Temperature: 39.4°C, Voltage: 3.55V, Current: 1.06A, Signal_Strength: -57dBm, Antenna_Angle: 6.13°, Roll: 0.84°, Pitch: 1.50°, Yaw: 321.37°, Packets_Sent: 1027, Status: OK
[2025-01-01 00:56:00] Temperature: 23.5°C, Voltage: 3.78V, Current: 1.03A, Signal_Strength: -53dBm, Antenna_Angle: 166.26°, Roll: 1.69°, Pitch: 1.38°, Yaw: 37.99°, Packets_Sent: 1443, Status: OK
[2025-01-01 00:57:00] Temperature: 20.9°C, Voltage: 3.13V, Current: 1.27A, Signal_Strength: -55dBm, Antenna_Angle: 175.88°, Roll: -0.68°, Pitch: 0.34°, Yaw: 123.66°, Packets_Sent: 1215, Status: Warning
[2025-01-01 00:58:00] Temperature: 27.9°C, Voltage: 3.56V, Current: 1.21A, Signal_Strength: -74dBm, Antenna_Angle: 108.40°, Roll: 1.65°, Pitch: 1.94°, Yaw: 176.69°, Packets_Sent: 1217, Status: OK
[2025-01-01 00:59:00] Temperature: 26.9°C, Voltage: 3.53V, Current: 0.47A, Signal_Strength: -67dBm, Antenna_Angle: 132.41°, Roll: 0.77°, Pitch: -1.19°, Yaw: 37.16°, Packets_Sent: 1131, Status: OK
[2025-01-01 01:00:00] Temperature: 34.1°C, Voltage: 3.47V, Current: 0.77A, Signal_Strength: -46dBm, Antenna_Angle: 121.10°, Roll: 1.16°, Pitch: -0.59°, Yaw: 224.09°, Packets_Sent: 1392, Status: OK
[2025-01-01 01:01:00] Temperature: 39.9°C, Voltage: 3.82V, Current: 1.28A, Signal_Strength: -46dBm, Antenna_Angle: 152.62°, Roll: -1.19°, Pitch: 1.18°, Yaw: 334.00°, Packets_Sent: 1339, Status: OK
[2025-01-01 01:02:00] Temperature: 44.1°C, Voltage: 3.76V, Current: 0.86A, Signal_Strength: -73dBm, Antenna_Angle: 295.33°, Roll: 1.03°, Pitch: -0.79°, Yaw: 289.26°, Packets_Sent: 1629, Status: OK
[2025-01-01 01:03:00] Temperature: 15.9°C, Voltage: 3.62V, Current: 1.19A, Signal_Strength: -66dBm, Antenna_Angle: 28.60°, Roll: -0.52°, Pitch: -0.68°, Yaw: 169.75°, Packets_Sent: 1081, Status: OK
[2025-01-01 01:04:00] Temperature: 19.8°C, Voltage: 3.70V, Current: 1.04A, Signal_Strength: -58dBm, Antenna_Angle: 80.30°, Roll: 1.55°, Pitch: 1.11°, Yaw: 221.78°, Packets_Sent: 1685, Status: OK
[2025-01-01 01:05:00] Temperature: 72.6°C, Voltage: 3.72V, Current: 0.86A, Signal_Strength: -59dBm, Antenna_Angle: 344.03°, Roll: 1.93°, Pitch: 0.19°, Yaw: 232.64°, Packets_Sent: 1960, Status: Warning
[2025-01-01 01:06:00] Temperature: 26.2°C, Voltage: 3.08V, Current: 0.62A, Signal_Strength: -73dBm, Antenna_Angle: 38.89°, Roll: -1.31°, Pitch: -1.35°, Yaw: 102.61°, Packets_Sent: 1319, Status: Warning
[2025-01-01 01:07:00] Temperature: 37.0°C, Voltage: 3.73V, Current: 1.43A, Signal_Strength: -62dBm, Antenna_Angle: 179.91°, Roll: -1.26°, Pitch: -1.99°, Yaw: 240.87°, Packets_Sent: 987, Status: OK
[2025-01-01 01:08:00] Temperature: 31.8°C, Voltage: 3.63V, Current: 0.59A, Signal_Strength: -55dBm, Antenna_Angle: 342.73°, Roll: 0.46°, Pitch: 0.11°, Yaw: 101.99°, Packets_Sent: 1990, Status: OK
[2025-01-01 01:09:00] Temperature: 30.6°C, Voltage: 3.75V, Current: 0.85A, Signal_Strength: -61dBm, Antenna_Angle: 145.50°, Roll: 1.52°, Pitch: 1.22°, Yaw: 266.09°, Packets_Sent: 1459, Status: OK
[2025-01-01 01:10:00] Temperature: 24.0°C, Voltage: 3.73V, Current: 0.60A, Signal_Strength: -69dBm, Antenna_Angle: 275.73°, Roll: -0.83°, Pitch: -0.89°, Yaw: 262.05°, Packets_Sent: 1790, Status: OK
[2025-01-01 01:11:00] Temperature: 23.2°C, Voltage: 3.46V, Current: 0.91A, Signal_Strength: -58dBm, Antenna_Angle: 275.93°, Roll: 1.05°, Pitch: 0.40°, Yaw: 156.27°, Packets_Sent: 1240, Status: OK
[2025-01-01 01:12:00] Temperature: 32.8°C, Voltage: 3.71V, Current: 0.97A, Signal_Strength: -55dBm, Antenna_Angle: 197.87°, Roll: 1.30°, Pitch: -0.79°, Yaw: 219.37°, Packets_Sent: 1808, Status: OK
[2025-01-01 01:13:00] Temperature: 26.6°C, Voltage: 3.63V, Current: 0.50A, Signal_Strength: -47dBm, Antenna_Angle: 92.61°, Roll: 1.93°, Pitch: 0.28°, Yaw: 253.12°, Packets_Sent: 1344, Status: OK
[2025-01-01 01:14:00] Temperature: 39.3°C, Voltage: 3.58V, Current: 0.88A, Signal_Strength: -66dBm, Antenna_Angle: 51.90°, Roll: -1.96°, Pitch: -1.39°, Yaw: 136.38°, Packets_Sent: 1471, Status: OK
[2025-01-01 01:15:00] Temperature: 83.9°C, Voltage: 3.79V, Current: 1.43A, Signal_Strength: -51dBm, Antenna_Angle: 96.57°, Roll: -0.44°, Pitch: 0.67°, Yaw: 290.81°, Packets_Sent: 1695, Status: Critical
[2025-01-01 01:16:00] Temperature: 31.1°C, Voltage: 3.79V, Current: 1.03A, Signal_Strength: -51dBm, Antenna_Angle: 87.48°, Roll: -0.93°, Pitch: 0.24°, Yaw: 49.45°, Packets_Sent: 1179, Status: OK
[2025-01-01 01:17:00] Temperature: 21.8°C, Voltage: 3.53V, Current: 0.93A, Signal_Strength: -58dBm, Antenna_Angle: 97.14°, Roll: 0.70°, Pitch: -1.74°, Yaw: 185.28°, Packets_Sent: 1692, Status: OK
[2025-01-01 01:18:00] Temperature: 24.0°C, Voltage: 3.80V, Current: 0.97A, Signal_Strength: -65dBm, Antenna_Angle: 180.51°, Roll: 1.71°, Pitch: 1.15°, Yaw: 118.03°, Packets_Sent: 1005, Status: OK
[2025-01-01 01:19:00] Temperature: 39.0°C, Voltage: 3.81V, Current: 1.14A, Signal_Strength: -62dBm, Antenna_Angle: 143.78°, Roll: 1.30°, Pitch: -0.16°, Yaw: 138.73°, Packets_Sent: 1661, Status: OK
[2025-01-01 01:20:00] Temperature: 16.6°C, Voltage: 3.59V, Current: 0.47A, Signal_Strength: -53dBm, Antenna_Angle: 329.95°, Roll: 0.61°, Pitch: -0.96°, Yaw: 91.96°, Packets_Sent: 1880, Status: OK
[2025-01-01 01:21:00] Temperature: 21.4°C, Voltage: 3.62V, Current: 0.65A, Signal_Strength: -61dBm, Antenna_Angle: 132.35°, Roll: -0.98°, Pitch: -0.26°, Yaw: 69.44°, Packets_Sent: 1119, Status: OK
[2025-01-01 01:22:00] Temperature: 22.6°C, Voltage: 3.47V, Current: 0.72A, Signal_Strength: -72dBm, Antenna_Angle: 246.59°, Roll: -0.23°, Pitch: -0.18°, Yaw: 35.91°, Packets_Sent: 1783, Status: OK
[2025-01-01 01:23:00] Temperature: 16.5°C, Voltage: 3.58V, Current: 1.09A, Signal_Strength: -72dBm, Antenna_Angle: 349.55°, Roll: 0.68°, Pitch: 0.63°, Yaw: 289.60°, Packets_Sent: 1611, Status: OK
[2025-01-01 01:24:00] Temperature: 33.8°C, Voltage: 3.54V, Current: 0.75A, Signal_Strength: -49dBm, Antenna_Angle: 115.02°, Roll: 0.50°, Pitch: 1.96°, Yaw: 328.47°, Packets_Sent: 1079, Status: OK
[2025-01-01 01:25:00] Temperature: 36.3°C, Voltage: 3.65V, Current: 1.42A, Signal_Strength: -48dBm, Antenna_Angle: 147.87°, Roll: -1.26°, Pitch: -0.04°, Yaw: 212.77°, Packets_Sent: 1319, Status: OK
[2025-01-01 01:26:00] Temperature: 38.4°C, Voltage: 3.50V, Current: 0.62A, Signal_Strength: -103dBm, Antenna_Angle: 144.79°, Roll: 0.46°, Pitch: -1.69°, Yaw: 296.44°, Packets_Sent: 1935, Status: Critical
[2025-01-01 01:27:00] Temperature: 33.1°C, Voltage: 3.66V, Current: 0.78A, Signal_Strength: -48dBm, Antenna_Angle: 235.55°, Roll: 0.32°, Pitch: 1.07°, Yaw: 130.26°, Packets_Sent: 1505, Status: OK
[2025-01-01 01:28:00] Temperature: 25.0°C, Voltage: 3.50V, Current: 0.42A, Signal_Strength: -70dBm, Antenna_Angle: 221.91°, Roll: -1.62°, Pitch: -1.55°, Yaw: 104.37°, Packets_Sent: 1779, Status: OK
[2025-01-01 01:29:00] Temperature: 44.4°C, Voltage: 3.78V, Current: 0.45A, Signal_Strength: -47dBm, Antenna_Angle: 2.25°, Roll: -0.08°, Pitch: 1.59°, Yaw: 259.03°, Packets_Sent: 1891, Status: OK
[2025-01-01 01:30:00] Temperature: 16.2°C, Voltage: 3.48V, Current: 1.05A, Signal_Strength: -70dBm, Antenna_Angle: 320.19°, Roll: -1.57°, Pitch: 0.20°, Yaw: 164.07°, Packets_Sent: 1186, Status: OK
[2025-01-01 01:31:00] Temperature: 43.1°C, Voltage: 3.78V, Current: 0.52A, Signal_Strength: -45dBm, Antenna_Angle: 86.11°, Roll: -1.83°, Pitch: -1.02°, Yaw: 219.45°, Packets_Sent: 1217, Status: OK
[2025-01-01 01:32:00] Temperature: 22.5°C, Voltage: 3.48V, Current: 0.86A, Signal_Strength: -63dBm, Antenna_Angle: 143.33°, Roll: -1.30°, Pitch: -1.20°, Yaw: 31.12°, Packets_Sent: 988, Status: OK
[2025-01-01 01:33:00] Temperature: 25.7°C, Voltage: 3.65V, Current: 0.86A, Signal_Strength: -71dBm, Antenna_Angle: 163.32°, Roll: -0.65°, Pitch: -0.32°, Yaw: 338.45°, Packets_Sent: 1579, Status: OK
[2025-01-01 01:34:00] Temperature: 35.2°C, Voltage: 3.61V, Current: 1.38A, Signal_Strength: -53dBm, Antenna_Angle: 51.83°, Roll: -1.55°, Pitch: -1.97°, Yaw: 345.65°, Packets_Sent: 1543, Status: OK
[2025-01-01 01:35:00] Temperature: 40.4°C, Voltage: 3.82V, Current: 1.42A, Signal_Strength: -59dBm, Antenna_Angle: 15.00°, Roll: -0.72°, Pitch: 1.83°, Yaw: 278.13°, Packets_Sent: 905, Status: OK
[2025-01-01 01:36:00] Temperature: 17.5°C, Voltage: 3.66V, Current: 1.33A, Signal_Strength: -61dBm, Antenna_Angle: 247.73°, Roll: 1.24°, Pitch: 1.89°, Yaw: 131.39°, Packets_Sent: 1314, Status: OK
[2025-01-01 01:37:00] Temperature: 32.2°C, Voltage: 3.54V, Current: 1.17A, Signal_Strength: -68dBm, Antenna_Angle: 226.67°, Roll: -0.91°, Pitch: -0.87°, Yaw: 209.79°, Packets_Sent: 1658, Status: OK
[2025-01-01 01:38:00] Temperature: 17.5°C, Voltage: 3.80V, Current: 0.76A, Signal_Strength: -50dBm, Antenna_Angle: 322.69°, Roll: -1.25°, Pitch: 1.44°, Yaw: 254.25°, Packets_Sent: 1507, Status: OK
[2025-01-01 01:39:00] Temperature: 19.4°C, Voltage: 3.52V, Current: 1.15A, Signal_Strength: -63dBm, Antenna_Angle: 190.19°, Roll: 0.51°, Pitch: 0.74°, Yaw: 266.11°, Packets_Sent: 1584, Status: OK
[2025-01-01 01:40:00] Temperature: 19.3°C, Voltage: 3.46V, Current: 0.48A, Signal_Strength: -52dBm, Antenna_Angle: 326.12°, Roll: 0.84°, Pitch: 0.18°, Yaw: 11.80°, Packets_Sent: 1561, Status: OK
[2025-01-01 01:41:00] Temperature: 16.5°C, Voltage: 3.54V, Current: 0.71A, Signal_Strength: -52dBm, Antenna_Angle: 260.42°, Roll: 1.92°, Pitch: -1.19°, Yaw: 85.72°, Packets_Sent: 1359, Status: OK
[2025-01-01 01:42:00] Temperature: 36.3°C, Voltage: 3.60V, Current: 0.73A, Signal_Strength: -61dBm, Antenna_Angle: 313.38°, Roll: 0.31°, Pitch: 0.16°, Yaw: 101.45°, Packets_Sent: 905, Status: OK
[2025-01-01 01:43:00] Temperature: 44.7°C, Voltage: 3.54V, Current: 1.42A, Signal_Strength: -74dBm, Antenna_Angle: 232.83°, Roll: 1.15°, Pitch: -1.96°, Yaw: 347.99°, Packets_Sent: 1096, Status: OK
[2025-01-01 01:44:00] Temperature: 16.8°C, Voltage: 3.78V, Current: 0.78A, Signal_Strength: -54dBm, Antenna_Angle: 224.06°, Roll: 1.45°, Pitch: 1.68°, Yaw: 225.92°, Packets_Sent: 1358, Status: OK
[2025-01-01 01:45:00] Temperature: 29.1°C, Voltage: 3.63V, Current: 1.32A, Signal_Strength: -59dBm, Antenna_Angle: 137.04°, Roll: -0.18°, Pitch: 0.42°, Yaw: 134.99°, Packets_Sent: 1122, Status: OK
[2025-01-01 01:46:00] Temperature: 17.8°C, Voltage: 3.83V, Current: 0.66A, Signal_Strength: -54dBm, Antenna_Angle: 202.60°, Roll: 1.05°, Pitch: -1.72°, Yaw: 20.59°, Packets_Sent: 962, Status: OK
[2025-01-01 01:47:00] Temperature: 25.9°C, Voltage: 3.78V, Current: 0.49A, Signal_Strength: -64dBm, Antenna_Angle: 276.86°, Roll: -1.01°, Pitch: 0.60°, Yaw: 175.72°, Packets_Sent: 1287, Status: OK
[2025-01-01 01:48:00] Temperature: 41.7°C, Voltage: 3.57V, Current: 0.95A, Signal_Strength: -59dBm, Antenna_Angle: 256.81°, Roll: 0.89°, Pitch: -1.83°, Yaw: 126.14°, Packets_Sent: 1427, Status: OK
[2025-01-01 01:49:00] Temperature: 92.0°C, Voltage: 3.19V, Current: 1.36A, Signal_Strength: -97dBm, Antenna_Angle: 352.47°, Roll: 0.28°, Pitch: 1.73°, Yaw: 132.70°, Packets_Sent: 1584, Status: Critical
