--- Cartosat-2D Logs ---
[2025-01-01 00:00:00] Temperature: 31.1°C, Voltage: 3.58V, Current: 1.26A, Signal_Strength: -63dBm, Antenna_Angle: 267.32°, Roll: -0.80°, Pitch: 0.90°, Yaw: 113.58°, Packets_Sent: 1967, Status: OK
[2025-01-01 00:18:00] Temperature: 26.4°C, Voltage: 3.65V, Current: 1.13A, Signal_Strength: -72dBm, Antenna_Angle: 294.12°, Roll: 1.03°, Pitch: 0.64°, Yaw: 163.07°, Packets_Sent: 900, Status: OK
[2025-01-01 00:19:00] Temperature: 33.5°C, Voltage: 3.63V, Current: 0.63A, Signal_Strength: -49dBm, Antenna_Angle: 107.90°, Roll: 1.67°, Pitch: 1.75°, Yaw: 258.40°, Packets_Sent: 1523, Status: OK
[2025-01-01 00:20:00] Temperature: 44.7°C, Voltage: 3.68V, Current: 1.07A, Signal_Strength: -104dBm, Antenna_Angle: 305.14°, Roll: -1.75°, Pitch: 1.60°, Yaw: 348.43°, Packets_Sent: 1502, Status: Critical
[2025-01-01 00:21:00] Temperature: 23.5°C, Voltage: 3.46V, Current: 0.87A, Signal_Strength: -57dBm, Antenna_Angle: 225.07°, Roll: -0.38°, Pitch: -0.26°, Yaw: 76.04°, Packets_Sent: 1683, Status: OK
[2025-01-01 00:22:00] Temperature: 19.2°C, Voltage: 3.67V, Current: 1.33A, Signal_Strength: -64dBm, Antenna_Angle: 150.20°, Roll: 1.99°, Pitch: 0.68°, Yaw: 48.34°, Packets_Sent: 1490, Status: OK
[2025-01-01 00:23:00] Temperature: 15.5°C, Voltage: 3.74V, Current: 0.94A, Signal_Strength: -62dBm, Antenna_Angle: 356.47°, Roll: -1.45°, Pitch: 1.22°, Yaw: 309.65°, Packets_Sent: 1073, Status: OK
[2025-01-01 00:24:00] Temperature: 91.9°C, Voltage: 2.74V, Current: 1.09A, Signal_Strength: -102dBm, Antenna_Angle: 152.68°, Roll: -0.46°, Pitch: -1.10°, Yaw: 152.91°, Packets_Sent: 1821, Status: Critical
[2025-01-01 00:25:00] Temperature: 27.3°C, Voltage: 3.67V, Current: 0.80A, Signal_Strength: -46dBm, Antenna_Angle: 204.53°, Roll: -1.55°, Pitch: -0.07°, Yaw: 248.57°, Packets_Sent: 1654, Status: OK
[2025-01-01 00:26:00] Temperature: 36.9°C, Voltage: 3.84V, Current: 1.48A, Signal_Strength: -52dBm, Antenna_Angle: 167.37°, Roll: 0.09°, Pitch: 0.44°, Yaw: 88.28°, Packets_Sent: 1060, Status: OK
[2025-01-01 00:27:00] Temperature: 34.9°C, Voltage: 3.72V, Current: 1.15A, Signal_Strength: -59dBm, Antenna_Angle: 208.66°, Roll: 1.61°, Pitch: 0.14°, Yaw: 3.88°, Packets_Sent: 1008, Status: OK
[2025-01-01 00:28:00] Temperature: 42.2°C, Voltage: 3.68V, Current: 0.76A, Signal_Strength: -64dBm, Antenna_Angle: 351.98°, Roll: -0.84°, Pitch: -1.86°, Yaw: 332.22°, Packets_Sent: 1503, Status: OK
[2025-01-01 00:29:00] Temperature: 76.7°C, Voltage: 2.90V, Current: 0.47A, Signal_Strength: -97dBm, Antenna_Angle: 60.87°, Roll: 0.63°, Pitch: -0.83°, Yaw: 265.45°, Packets_Sent: 1005, Status: Critical
[2025-01-01 00:30:00] Temperature: 23.3°C, Voltage: 3.50V, Current: 0.71A, Signal_Strength: -49dBm, Antenna_Angle: 5.11°, Roll: 0.42°, Pitch: 1.64°, Yaw: 266.02°, Packets_Sent: 1128, Status: OK
[2025-01-01 00:31:00] Temperature: 26.1°C, Voltage: 3.52V, Current: 1.26A, Signal_Strength: -68dBm, Antenna_Angle: 65.09°, Roll: 1.45°, Pitch: -0.63°, Yaw: 30.38°, Packets_Sent: 1980, Status: OK
[2025-01-01 00:32:00] Temperature: 43.0°C, Voltage: 3.51V, Current: 0.95A, Signal_Strength: -45dBm, Antenna_Angle: 277.32°, Roll: 0.64°, Pitch: 0.90°, Yaw: 60.22°, Packets_Sent: 1387, Status: OK
[2025-01-01 00:33:00] Temperature: 40.3°C, Voltage: 3.47V, Current: 0.69A, Signal_Strength: -50dBm, Antenna_Angle: 18.91°, Roll: -0.41°, Pitch: -0.79°, Yaw: 268.61°, Packets_Sent: 1850, Status: OK
[2025-01-01 00:34:00] Temperature: 31.0°C, Voltage: 3.60V, Current: 1.18A, Signal_Strength: -61dBm, Antenna_Angle: 52.25°, Roll: -1.95°, Pitch: 1.71°, Yaw: 161.57°, Packets_Sent: 1790, Status: OK
[2025-01-01 00:35:00] Temperature: 43.9°C, Voltage: 3.72V, Current: 0.45A, Signal_Strength: -47dBm, Antenna_Angle: 229.47°, Roll: 0.44°, Pitch: 0.61°, Yaw: 98.13°, Packets_Sent: 1784, Status: OK
[2025-01-01 00:36:00] Temperature: 39.1°C, Voltage: 3.55V, Current: 1.04A, Signal_Strength: -61dBm, Antenna_Angle: 243.10°, Roll: 0.94°, Pitch: 0.35°, Yaw: 70.17°, Packets_Sent: 1395, Status: OK
[2025-01-01 00:37:00] Temperature: 35.7°C, Voltage: 3.52V, Current: 1.00A, Signal_Strength: -55dBm, Antenna_Angle: 299.40°, Roll: -0.36°, Pitch: 0.10°, Yaw: 246.77°, Packets_Sent: 924, Status: OK
[2025-01-01 00:38:00] Temperature: 36.8°C, Voltage: 3.55V, Current: 0.44A, Signal_Strength: -56dBm, Antenna_Angle: 20.48°, Roll: 1.80°, Pitch: 0.55°, Yaw: 254.90°, Packets_Sent: 1344, Status: OK
[2025-01-01 00:39:00] Temperature: 40.7°C, Voltage: 3.50V, Current: 1.12A, Signal_Strength: -48dBm, Antenna_Angle: 203.78°, Roll: 1.58°, Pitch: 0.78°, Yaw: 91.20°, Packets_Sent: 1278, Status: OK
[2025-01-01 00:40:00] Temperature: 81.7°C, Voltage: 2.64V, Current: 1.41A, Signal_Strength: -96dBm, Antenna_Angle: 153.71°, Roll: -0.97°, Pitch: 1.12°, Yaw: 99.82°, Packets_Sent: 1562, Status: Critical
[2025-01-01 00:41:00] Temperature: 22.9°C, Voltage: 3.63V, Current: 0.94A, Signal_Strength: -47dBm, Antenna_Angle: 219.70°, Roll: 0.58°, Pitch: -1.57°, Yaw: 194.62°, Packets_Sent: 1265, Status: OK
[2025-01-01 00:42:00] Temperature: 33.4°C, Voltage: 3.49V, Current: 0.89A, Signal_Strength: -67dBm, Antenna_Angle: 12.55°, Roll: 0.29°, Pitch: -1.00°, Yaw: 160.51°, Packets_Sent: 1044, Status: OK
[2025-01-01 00:43:00] Temperature: 19.5°C, Voltage: 3.71V, Current: 1.43A, Signal_Strength: -55dBm, Antenna_Angle: 95.91°, Roll: 1.62°, Pitch: 0.30°, Yaw: 185.53°, Packets_Sent: 1575, Status: OK
[2025-01-01 00:44:00] Temperature: 29.7°C, Voltage: 3.62V, Current: 1.33A, Signal_Strength: -52dBm, Antenna_Angle: 282.73°, Roll: -1.99°, Pitch: 1.82°, Yaw: 294.46°, Packets_Sent: 1362, Status: OK
[2025-01-01 00:45:00] Temperature: 32.0°C, Voltage: 3.82V, Current: 0.79A, Signal_Strength: -55dBm, Antenna_Angle: 144.22°, Roll: -0.54°, Pitch: 1.41°, Yaw: 122.42°, Packets_Sent: 1085, Status: OK
[2025-01-01 00:46:00] Temperature: 37.8°C, Voltage: 3.57V, Current: 0.62A, Signal_Strength: -58dBm, Antenna_Angle: 348.29°, Roll: -0.80°, Pitch: -0.44°, Yaw: 38.44°, Packets_Sent: 1291, Status: OK
[2025-01-01 00:47:00] Temperature: 29.6°C, Voltage: 3.80V, Current: 0.88A, Signal_Strength: -99dBm, Antenna_Angle: 12.85°, Roll: 0.88°, Pitch: 0.37°, Yaw: 176.12°, Packets_Sent: 951, Status: Warning
[2025-01-01 00:48:00] Temperature: 43.9°C, Voltage: 3.77V, Current: 1.46A, Signal_Strength: -75dBm, Antenna_Angle: 122.14°, Roll: 1.15°, Pitch: -1.83°, Yaw: 42.55°, Packets_Sent: 1591, Status: OK
[2025-01-01 00:49:00] Temperature: 35.0°C, Voltage: 3.63V, Current: 1.15A, Signal_Strength: -49dBm, Antenna_Angle: 53.62°, Roll: 1.70°, Pitch: -1.85°, Yaw: 50.97°, Packets_Sent: 1377, Status: OK
[2025-01-01 00:50:00] Temperature: 29.1°C, Voltage: 3.82V, Current: 0.45A, Signal_Strength: -54dBm, Antenna_Angle: 46.99°, Roll: 0.53°, Pitch: 1.62°, Yaw: 295.46°, Packets_Sent: 1252, Status: OK
[2025-01-01 00:51:00] Temperature: 33.3°C, Voltage: 3.78V, Current: 0.47A, Signal_Strength: -50dBm, Antenna_Angle: 41.10°, Roll: -1.75°, Pitch: -1.19°, Yaw: 121.44°, Packets_Sent: 1351, Status: OK
[2025-01-01 00:52:00] Temperature: 37.1°C, Voltage: 3.61V, Current: 0.53A, Signal_Strength: -54dBm, Antenna_Angle: 196.51°, Roll: 1.35°, Pitch: 1.17°, Yaw: 275.11°, Packets_Sent: 1558, Status: OK
[2025-01-01 00:53:00] Temperature: 25.1°C, Voltage: 3.50V, Current: 0.56A, Signal_Strength: -63dBm, Antenna_Angle: 250.66°, Roll: -0.25°, Pitch: 1.70°, Yaw: 14.65°, Packets_Sent: 1237, Status: OK
[2025-01-01 00:54:00] Temperature: 40.4°C, Voltage: 3.69V, Current: 1.26A, Signal_Strength: -75dBm, Antenna_Angle: 175.30°, Roll: -1.97°, Pitch: 1.70°, Yaw: 254.42°, Packets_Sent: 913, Status: OK
[2025-01-01 00:55:00] Temperature: 23.5°C, Voltage: 3.73V, Current: 1.27A, Signal_Strength: -61dBm, Antenna_Angle: 45.68°, Roll: 0.56°, Pitch: 0.09°, Yaw: 148.33°, Packets_Sent: 1193, Status: OK
[2025-01-01 00:56:00] Temperature: 33.3°C, Voltage: 3.47V, Current: 0.60A, Signal_Strength: -60dBm, Antenna_Angle: 342.10°, Roll: -0.61°, Pitch: -1.98°, Yaw: 84.83°, Packets_Sent: 1516, Status: OK
[2025-01-01 00:57:00] Temperature: 86.3°C, Voltage: 3.49V, Current: 0.80A, Signal_Strength: -52dBm, Antenna_Angle: 194.29°, Roll: -0.14°, Pitch: 0.51°, Yaw: 74.92°, Packets_Sent: 1349, Status: Critical
[2025-01-01 00:58:00] Temperature: 35.6°C, Voltage: 3.84V, Current: 0.92A, Signal_Strength: -70dBm, Antenna_Angle: 241.24°, Roll: -1.78°, Pitch: -0.54°, Yaw: 75.45°, Packets_Sent: 988, Status: OK
[2025-01-01 00:59:00] Temperature: 33.5°C, Voltage: 3.81V, Current: 0.90A, Signal_Strength: -72dBm, Antenna_Angle: 18.88°, Roll: -1.30°, Pitch: 1.14°, Yaw: 174.62°, Packets_Sent: 2000, Status: OK
[2025-01-01 01:00:00] Temperature: 41.9°C, Voltage: 3.74V, Current: 1.05A, Signal_Strength: -65dBm, Antenna_Angle: 71.55°, Roll: -1.08°, Pitch: -1.56°, Yaw: 82.00°, Packets_Sent: 1567, Status: OK
[2025-01-01 01:01:00] Temperature: 27.4°C, Voltage: 3.53V, Current: 1.38A, Signal_Strength: -73dBm, Antenna_Angle: 210.63°, Roll: 1.56°, Pitch: -1.42°, Yaw: 334.03°, Packets_Sent: 1011, Status: OK
[2025-01-01 01:02:00] Temperature: 26.6°C, Voltage: 3.50V, Current: 1.19A, Signal_Strength: -56dBm, Antenna_Angle: 351.19°, Roll: -0.66°, Pitch: -1.87°, Yaw: 204.71°, Packets_Sent: 1314, Status: OK
[2025-01-01 01:03:00] Temperature: 18.3°C, Voltage: 3.64V, Current: 0.86A, Signal_Strength: -52dBm, Antenna_Angle: 79.15°, Roll: 0.41°, Pitch: 1.16°, Yaw: 229.67°, Packets_Sent: 1504, Status: OK
[2025-01-01 01:04:00] Temperature: 20.1°C, Voltage: 3.84V, Current: 1.34A, Signal_Strength: -72dBm, Antenna_Angle: 308.50°, Roll: 1.45°, Pitch: -1.13°, Yaw: 170.45°, Packets_Sent: 1901, Status: OK
[2025-01-01 01:05:00] Temperature: 15.4°C, Voltage: 3.62V, Current: 1.36A, Signal_Strength: -68dBm, Antenna_Angle: 156.33°, Roll: 1.57°, Pitch: 0.37°, Yaw: 53.63°, Packets_Sent: 1355, Status: OK
[2025-01-01 01:06:00] Temperature: 15.2°C, Voltage: 3.84V, Current: 0.44A, Signal_Strength: -61dBm, Antenna_Angle: 276.69°, Roll: -0.30°, Pitch: -0.42°, Yaw: 291.49°, Packets_Sent: 968, Status: OK
[2025-01-01 01:07:00] Temperature: 17.9°C, Voltage: 3.65V, Current: 0.49A, Signal_Strength: -52dBm, Antenna_Angle: 249.53°, Roll: 1.80°, Pitch: -1.47°, Yaw: 106.48°, Packets_Sent: 1732, Status: OK
[2025-01-01 01:08:00] Temperature: 17.7°C, Voltage: 3.64V, Current: 0.74A, Signal_Strength: -54dBm, Antenna_Angle: 308.84°, Roll: 1.91°, Pitch: -0.14°, Yaw: 49.90°, Packets_Sent: 949, Status: OK
[2025-01-01 01:09:00] Temperature: 20.5°C, Voltage: 3.80V, Current: 1.09A, Signal_Strength: -54dBm, Antenna_Angle: 0.49°, Roll: -0.46°, Pitch: 0.76°, Yaw: 191.13°, Packets_Sent: 1044, Status: OK
[2025-01-01 01:10:00] Temperature: 37.6°C, Voltage: 3.73V, Current: 1.07A, Signal_Strength: -58dBm, Antenna_Angle: 74.57°, Roll: 0.48°, Pitch: -0.66°, Yaw: 335.60°, Packets_Sent: 1065, Status: OK
[2025-01-01 01:11:00] Temperature: 42.3°C, Voltage: 2.78V, Current: 0.46A, Signal_Strength: -64dBm, Antenna_Angle: 167.52°, Roll: -0.54°, Pitch: -1.30°, Yaw: 201.16°, Packets_Sent: 983, Status: Critical
[2025-01-01 01:12:00] Temperature: 25.0°C, Voltage: 3.67V, Current: 1.11A, Signal_Strength: -53dBm, Antenna_Angle: 270.81°, Roll: 1.01°, Pitch: 1.04°, Yaw: 115.36°, Packets_Sent: 1329, Status: OK
[2025-01-01 01:13:00] Temperature: 30.1°C, Voltage: 3.62V, Current: 0.46A, Signal_Strength: -64dBm, Antenna_Angle: 162.86°, Roll: 0.11°, Pitch: -1.51°, Yaw: 255.53°, Packets_Sent: 1926, Status: OK
[2025-01-01 01:14:00] Temperature: 31.0°C, Voltage: 3.57V, Current: 1.08A, Signal_Strength: -51dBm, Antenna_Angle: 340.32°, Roll: -1.25°, Pitch: 1.54°, Yaw: 31.43°, Packets_Sent: 1034, Status: OK
[2025-01-01 01:15:00] Temperature: 20.4°C, Voltage: 3.83V, Current: 0.48A, Signal_Strength: -70dBm, Antenna_Angle: 40.33°, Roll: -0.01°, Pitch: 1.50°, Yaw: 187.44°, Packets_Sent: 1203, Status: OK
[2025-01-01 01:16:00] Temperature: 23.8°C, Voltage: 3.16V, Current: 1.00A, Signal_Strength: -71dBm, Antenna_Angle: 124.81°, Roll: 0.95°, Pitch: -1.91°, Yaw: 68.06°, Packets_Sent: 1809, Status: Warning
[2025-01-01 01:17:00] Temperature: 30.6°C, Voltage: 3.58V, Current: 1.04A, Signal_Strength: -55dBm, Antenna_Angle: 283.25°, Roll: 0.37°, Pitch: 0.79°, Yaw: 303.08°, Packets_Sent: 1895, Status: OK
[2025-01-01 01:18:00] Temperature: 24.1°C, Voltage: 3.50V, Current: 1.27A, Signal_Strength: -70dBm, Antenna_Angle: 93.60°, Roll: -0.51°, Pitch: -0.85°, Yaw: 304.38°, Packets_Sent: 1891, Status: OK
[2025-01-01 01:19:00] Temperature: 23.5°C, Voltage: 3.83V, Current: 1.08A, Signal_Strength: -70dBm, Antenna_Angle: 192.71°, Roll: 1.89°, Pitch: 1.36°, Yaw: 249.42°, Packets_Sent: 1273, Status: OK
[2025-01-01 01:20:00] Temperature: 19.6°C, Voltage: 3.55V, Current: 0.45A, Signal_Strength: -66dBm, Antenna_Angle: 45.53°, Roll: -0.52°, Pitch: -1.18°, Yaw: 254.56°, Packets_Sent: 1433, Status: OK
[2025-01-01 01:21:00] Temperature: 44.3°C, Voltage: 3.51V, Current: 0.89A, Signal_Strength: -46dBm, Antenna_Angle: 192.11°, Roll: 1.68°, Pitch: -0.38°, Yaw: 179.79°, Packets_Sent: 1148, Status: OK
[2025-01-01 01:22:00] Temperature: 28.7°C, Voltage: 3.58V, Current: 0.40A, Signal_Strength: -53dBm, Antenna_Angle: 351.21°, Roll: 0.59°, Pitch: -0.82°, Yaw: 322.54°, Packets_Sent: 1578, Status: OK
[2025-01-01 01:23:00] Temperature: 77.5°C, Voltage: 3.85V, Current: 1.13A, Signal_Strength: -51dBm, Antenna_Angle: 262.27°, Roll: -0.65°, Pitch: -1.55°, Yaw: 172.43°, Packets_Sent: 1805, Status: Warning
[2025-01-01 01:24:00] Temperature: 27.0°C, Voltage: 3.79V, Current: 0.89A, Signal_Strength: -72dBm, Antenna_Angle: 19.81°, Roll: 0.33°, Pitch: -1.11°, Yaw: 336.83°, Packets_Sent: 1299, Status: OK
[2025-01-01 01:25:00] Temperature: 15.7°C, Voltage: 3.67V, Current: 0.89A, Signal_Strength: -55dBm, Antenna_Angle: 31.45°, Roll: -0.42°, Pitch: -0.04°, Yaw: 217.14°, Packets_Sent: 1948, Status: OK
[2025-01-01 01:26:00] Temperature: 16.7°C, Voltage: 3.72V, Current: 0.84A, Signal_Strength: -54dBm, Antenna_Angle: 153.95°, Roll: -0.51°, Pitch: -0.86°, Yaw: 126.48°, Packets_Sent: 1690, Status: OK
[2025-01-01 01:27:00] Temperature: 41.2°C, Voltage: 3.49V, Current: 1.20A, Signal_Strength: -62dBm, Antenna_Angle: 357.33°, Roll: -0.85°, Pitch: 1.22°, Yaw: 349.32°, Packets_Sent: 1806, Status: OK
[2025-01-01 01:28:00] Temperature: 41.9°C, Voltage: 3.51V, Current: 1.05A, Signal_Strength: -72dBm, Antenna_Angle: 74.80°, Roll: 1.95°, Pitch: 0.10°, Yaw: 120.75°, Packets_Sent: 1872, Status: OK
[2025-01-01 01:29:00] Temperature: 32.7°C, Voltage: 3.60V, Current: 0.41A, Signal_Strength: -56dBm, Antenna_Angle: 98.40°, Roll: 0.22°, Pitch: 0.84°, Yaw: 271.88°, Packets_Sent: 1258, Status: OK
[2025-01-01 01:30:00] Temperature: 20.6°C, Voltage: 3.60V, Current: 1.01A, Signal_Strength: -74dBm, Antenna_Angle: 297.44°, Roll: -0.02°, Pitch: 0.96°, Yaw: 80.83°, Packets_Sent: 1522, Status: OK
[2025-01-01 01:31:00] Temperature: 19.6°C, Voltage: 3.57V, Current: 1.10A, Signal_Strength: -56dBm, Antenna_Angle: 44.70°, Roll: -0.33°, Pitch: -0.03°, Yaw: 247.62°, Packets_Sent: 1489, Status: OK
[2025-01-01 01:32:00] Temperature: 18.6°C, Voltage: 3.56V, Current: 1.49A, Signal_Strength: -73dBm, Antenna_Angle: 268.40°, Roll: 0.26°, Pitch: 1.47°, Yaw: 226.07°, Packets_Sent: 1884, Status: OK
[2025-01-01 01:33:00] Temperature: 35.8°C, Voltage: 3.50V, Current: 0.96A, Signal_Strength: -58dBm, Antenna_Angle: 304.29°, Roll: 0.33°, Pitch: -1.42°, Yaw: 165.97°, Packets_Sent: 1233, Status: OK
[2025-01-01 01:34:00] Temperature: 25.7°C, Voltage: 3.47V, Current: 0.80A, Signal_Strength: -56dBm, Antenna_Angle: 343.85°, Roll: -0.84°, Pitch: 0.12°, Yaw: 337.06°, Packets_Sent: 999, Status: OK
[2025-01-01 01:35:00] Temperature: 38.0°C, Voltage: 3.52V, Current: 0.50A, Signal_Strength: -52dBm, Antenna_Angle: 195.73°, Roll: 1.31°, Pitch: 0.74°, Yaw: 108.38°, Packets_Sent: 1547, Status: OK
[2025-01-01 01:36:00] Temperature: 35.7°C, Voltage: 3.49V, Current: 1.04A, Signal_Strength: -50dBm, Antenna_Angle: 4.64°, Roll: -0.87°, Pitch: 1.12°, Yaw: 148.31°, Packets_Sent: 1961, Status: OK
[2025-01-01 01:37:00] Temperature: 19.9°C, Voltage: 3.54V, Current: 0.95A, Signal_Strength: -50dBm, Antenna_Angle: 286.23°, Roll: 1.38°, Pitch: 0.85°, Yaw: 252.81°, Packets_Sent: 1976, Status: OK
[2025-01-01 01:38:00] Temperature: 27.5°C, Voltage: 3.82V, Current: 0.53A, Signal_Strength: -71dBm, Antenna_Angle: 6.26°, Roll: -0.75°, Pitch: -0.55°, Yaw: 294.13°, Packets_Sent: 1613, Status: OK
[2025-01-01 01:39:00] Temperature: 32.9°C, Voltage: 3.76V, Current: 0.78A, Signal_Strength: -54dBm, Antenna_Angle: 10.35°, Roll: -1.11°, Pitch: 1.43°, Yaw: 51.25°, Packets_Sent: 1142, Status: OK
[2025-01-01 01:40:00] Temperature: 18.8°C, Voltage: 3.50V, Current: 0.49A, Signal_Strength: -54dBm, Antenna_Angle: 282.24°, Roll: -1.92°, Pitch: -0.06°, Yaw: 155.24°, Packets_Sent: 1059, Status: OK
[2025-01-01 01:41:00] Temperature: 16.0°C, Voltage: 3.71V, Current: 1.05A, Signal_Strength: -61dBm, Antenna_Angle: 327.06°, Roll: -1.74°, Pitch: 0.67°, Yaw: 271.63°, Packets_Sent: 988, Status: OK
[2025-01-01 01:42:00] Temperature: 42.6°C, Voltage: 3.53V, Current: 1.39A, Signal_Strength: -69dBm, Antenna_Angle: 126.55°, Roll: -1.42°, Pitch: 0.98°, Yaw: 99.85°, Packets_Sent: 1085, Status: OK
[2025-01-01 01:43:00] Temperature: 25.6°C, Voltage: 3.79V, Current: 1.26A, Signal_Strength: -57dBm, Antenna_Angle: 181.76°, Roll: -1.60°, Pitch: 0.31°, Yaw: 5.03°, Packets_Sent: 1039, Status: OK
[2025-01-01 01:44:00] Temperature: 20.7°C, Voltage: 3.56V, Current: 1.39A, Signal_Strength: -59dBm, Antenna_Angle: 350.48°, Roll: 1.70°, Pitch: 1.68°, Yaw: 306.46°, Packets_Sent: 1102, Status: OK
[2025-01-01 01:45:00] Temperature: 35.9°C, Voltage: 3.52V, Current: 1.14A, Signal_Strength: -72dBm, Antenna_Angle: 300.50°, Roll: -0.30°, Pitch: 0.06°, Yaw: 146.72°, Packets_Sent: 1677, Status: OK
[2025-01-01 01:46:00] Temperature: 24.4°C, Voltage: 3.64V, Current: 0.97A, Signal_Strength: -60dBm, Antenna_Angle: 130.05°, Roll: 0.23°, Pitch: -1.84°, Yaw: 118.12°, Packets_Sent: 1490, Status: OK
[2025-01-01 01:47:00] Temperature: 93.8°C, Voltage: 2.82V, Current: 0.74A, Signal_Strength: -110dBm, Antenna_Angle: 159.82°, Roll: -0.84°, Pitch: 1.42°, Yaw: 67.96°, Packets_Sent: 1734, Status: Critical
[2025-01-01 01:48:00] Temperature: 35.2°C, Voltage: 3.72V, Current: 0.84A, Signal_Strength: -59dBm, Antenna_Angle: 243.54°, Roll: -1.43°, Pitch: -0.40°, Yaw: 212.59°, Packets_Sent: 1144, Status: OK
[2025-01-01 01:49:00] Temperature: 42.8°C, Voltage: 3.84V, Current: 0.47A, Signal_Strength: -46dBm, Antenna_Angle: 121.90°, Roll: -1.51°, Pitch: 1.35°, Yaw: 261.06°, Packets_Sent: 1727, Status: OK
