--- RISAT-2BR1 Logs ---
[2025-01-01 00:00:00] Temperature: 34.5°C, Voltage: 3.60V, Current: 1.08A, Signal_Strength: -52dBm, Antenna_Angle: 343.65°, Roll: 0.12°, Pitch: 0.53°, Yaw: 178.76°, Packets_Sent: 962, Status: OK
[2025-01-01 00:20:00] Temperature: 23.2°C, Voltage: 3.73V, Current: 1.46A, Signal_Strength: -72dBm, Antenna_Angle: 246.89°, Roll: 1.88°, Pitch: -0.46°, Yaw: 319.43°, Packets_Sent: 1496, Status: OK
[2025-01-01 00:21:00] Temperature: 27.9°C, Voltage: 3.58V, Current: 0.53A, Signal_Strength: -53dBm, Antenna_Angle: 42.41°, Roll: -0.30°, Pitch: -0.66°, Yaw: 96.56°, Packets_Sent: 1909, Status: OK
[2025-01-01 00:22:00] Temperature: 38.6°C, Voltage: 3.48V, Current: 0.79A, Signal_Strength: -56dBm, Antenna_Angle: 111.84°, Roll: 0.45°, Pitch: -0.24°, Yaw: 215.58°, Packets_Sent: 1128, Status: OK
[2025-01-01 00:23:00] Temperature: 36.7°C, Voltage: 3.82V, Current: 0.45A, Signal_Strength: -46dBm, Antenna_Angle: 126.34°, Roll: 1.27°, Pitch: -1.76°, Yaw: 39.69°, Packets_Sent: 1932, Status: OK
[2025-01-01 00:24:00] Temperature: 40.1°C, Voltage: 3.48V, Current: 1.21A, Signal_Strength: -58dBm, Antenna_Angle: 234.79°, Roll: -1.31°, Pitch: -0.88°, Yaw: 45.45°, Packets_Sent: 1217, Status: OK
[2025-01-01 00:25:00] Temperature: 31.2°C, Voltage: 3.75V, Current: 0.74A, Signal_Strength: -55dBm, Antenna_Angle: 60.26°, Roll: -0.36°, Pitch: -1.80°, Yaw: 226.23°, Packets_Sent: 1681, Status: OK
[2025-01-01 00:26:00] Temperature: 28.1°C, Voltage: 3.73V, Current: 1.45A, Signal_Strength: -51dBm, Antenna_Angle: 314.72°, Roll: -0.90°, Pitch: 1.17°, Yaw: 70.75°, Packets_Sent: 968, Status: OK
[2025-01-01 00:27:00] Temperature: 15.2°C, Voltage: 3.79V, Current: 0.77A, Signal_Strength: -68dBm, Antenna_Angle: 269.18°, Roll: 1.18°, Pitch: 0.11°, Yaw: 144.08°, Packets_Sent: 1667, Status: OK
[2025-01-01 00:28:00] Temperature: 18.1°C, Voltage: 3.59V, Current: 0.69A, Signal_Strength: -62dBm, Antenna_Angle: 5.68°, Roll: 0.34°, Pitch: 1.57°, Yaw: 14.72°, Packets_Sent: 1401, Status: OK
[2025-01-01 00:29:00] Temperature: 29.5°C, Voltage: 3.56V, Current: 1.22A, Signal_Strength: -45dBm, Antenna_Angle: 227.87°, Roll: -0.02°, Pitch: -1.81°, Yaw: 119.79°, Packets_Sent: 1182, Status: OK
[2025-01-01 00:30:00] Temperature: 42.8°C, Voltage: 3.79V, Current: 0.73A, Signal_Strength: -58dBm, Antenna_Angle: 38.55°, Roll: 0.84°, Pitch: 1.28°, Yaw: 125.65°, Packets_Sent: 1213, Status: OK
[2025-01-01 00:31:00] Temperature: 33.8°C, Voltage: 3.72V, Current: 1.28A, Signal_Strength: -64dBm, Antenna_Angle: 15.33°, Roll: 1.52°, Pitch: 1.80°, Yaw: 349.14°, Packets_Sent: 1075, Status: OK
[2025-01-01 00:32:00] Temperature: 40.5°C, Voltage: 3.71V, Current: 1.12A, Signal_Strength: -58dBm, Antenna_Angle: 309.91°, Roll: -0.18°, Pitch: 1.50°, Yaw: 197.64°, Packets_Sent: 1918, Status: OK
[2025-01-01 00:33:00] Temperature: 87.0°C, Voltage: 3.52V, Current: 0.69A, Signal_Strength: -47dBm, Antenna_Angle: 133.48°, Roll: 0.57°, Pitch: -0.93°, Yaw: 269.41°, Packets_Sent: 1878, Status: Critical
[2025-01-01 00:34:00] Temperature: 39.9°C, Voltage: 3.48V, Current: 1.26A, Signal_Strength: -58dBm, Antenna_Angle: 205.02°, Roll: 0.43°, Pitch: -1.74°, Yaw: 173.97°, Packets_Sent: 1104, Status: OK
[2025-01-01 00:35:00] Temperature: 19.6°C, Voltage: 3.72V, Current: 0.71A, Signal_Strength: -72dBm, Antenna_Angle: 110.45°, Roll: -0.64°, Pitch: 0.69°, Yaw: 154.60°, Packets_Sent: 1238, Status: OK
[2025-01-01 00:36:00] Temperature: 31.2°C, Voltage: 3.66V, Current: 1.14A, Signal_Strength: -68dBm, Antenna_Angle: 281.02°, Roll: 0.65°, Pitch: -0.10°, Yaw: 158.39°, Packets_Sent: 1588, Status: OK
[2025-01-01 00:37:00] Temperature: 26.4°C, Voltage: 3.58V, Current: 1.39A, Signal_Strength: -61dBm, Antenna_Angle: 130.19°, Roll: 0.90°, Pitch: -0.95°, Yaw: 285.76°, Packets_Sent: 1520, Status: OK
[2025-01-01 00:38:00] Temperature: 40.1°C, Voltage: 3.54V, Current: 1.24A, Signal_Strength: -59dBm, Antenna_Angle: 236.60°, Roll: -0.65°, Pitch: -0.36°, Yaw: 202.92°, Packets_Sent: 1108, Status: OK
[2025-01-01 00:39:00] Temperature: 36.8°C, Voltage: 3.78V, Current: 0.69A, Signal_Strength: -57dBm, Antenna_Angle: 323.13°, Roll: -0.38°, Pitch: 1.80°, Yaw: 86.75°, Packets_Sent: 1897, Status: OK
[2025-01-01 00:40:00] Temperature: 25.4°C, Voltage: 3.59V, Current: 0.91A, Signal_Strength: -71dBm, Antenna_Angle: 18.34°, Roll: -1.56°, Pitch: 1.80°, Yaw: 231.64°, Packets_Sent: 997, Status: OK
[2025-01-01 00:41:00] Temperature: 40.8°C, Voltage: 3.76V, Current: 1.08A, Signal_Strength: -67dBm, Antenna_Angle: 238.75°, Roll: 0.78°, Pitch: -0.06°, Yaw: 62.26°, Packets_Sent: 1437, Status: OK
[2025-01-01 00:42:00] Temperature: 29.0°C, Voltage: 3.65V, Current: 0.84A, Signal_Strength: -72dBm, Antenna_Angle: 123.34°, Roll: -0.76°, Pitch: -0.43°, Yaw: 118.36°, Packets_Sent: 1899, Status: OK
[2025-01-01 00:43:00] Temperature: 29.0°C, Voltage: 3.70V, Current: 0.75A, Signal_Strength: -68dBm, Antenna_Angle: 52.04°, Roll: 1.87°, Pitch: -0.60°, Yaw: 6.35°, Packets_Sent: 1651, Status: OK
[2025-01-01 00:44:00] Temperature: 37.5°C, Voltage: 3.76V, Current: 1.32A, Signal_Strength: -60dBm, Antenna_Angle: 215.20°, Roll: -0.55°, Pitch: 0.01°, Yaw: 235.30°, Packets_Sent: 1899, Status: OK
[2025-01-01 00:45:00] Temperature: 19.7°C, Voltage: 3.81V, Current: 0.98A, Signal_Strength: -48dBm, Antenna_Angle: 226.10°, Roll: 1.11°, Pitch: -0.36°, Yaw: 85.80°, Packets_Sent: 1140, Status: OK
[2025-01-01 00:46:00] Temperature: 34.7°C, Voltage: 3.83V, Current: 0.73A, Signal_Strength: -75dBm, Antenna_Angle: 6.57°, Roll: -0.99°, Pitch: 1.23°, Yaw: 358.94°, Packets_Sent: 1108, Status: OK
[2025-01-01 00:47:00] Temperature: 36.5°C, Voltage: 3.55V, Current: 1.48A, Signal_Strength: -55dBm, Antenna_Angle: 176.09°, Roll: 1.90°, Pitch: -1.50°, Yaw: 125.74°, Packets_Sent: 1402, Status: OK
[2025-01-01 00:48:00] Temperature: 25.2°C, Voltage: 3.47V, Current: 1.18A, Signal_Strength: -60dBm, Antenna_Angle: 102.02°, Roll: -1.85°, Pitch: -0.15°, Yaw: 68.74°, Packets_Sent: 1724, Status: OK
[2025-01-01 00:49:00] Temperature: 18.0°C, Voltage: 3.48V, Current: 0.78A, Signal_Strength: -55dBm, Antenna_Angle: 237.25°, Roll: 1.03°, Pitch: -0.25°, Yaw: 12.70°, Packets_Sent: 980, Status: OK
[2025-01-01 00:50:00] Temperature: 32.2°C, Voltage: 3.71V, Current: 1.03A, Signal_Strength: -60dBm, Antenna_Angle: 155.69°, Roll: 1.78°, Pitch: -0.75°, Yaw: 244.76°, Packets_Sent: 1264, Status: OK
[2025-01-01 00:51:00] Temperature: 36.1°C, Voltage: 3.49V, Current: 1.28A, Signal_Strength: -58dBm, Antenna_Angle: 281.01°, Roll: -0.22°, Pitch: 0.71°, Yaw: 127.06°, Packets_Sent: 1768, Status: OK
[2025-01-01 00:52:00] Temperature: 27.9°C, Voltage: 3.85V, Current: 0.80A, Signal_Strength: -55dBm, Antenna_Angle: 128.17°, Roll: 0.38°, Pitch: -1.82°, Yaw: 20.80°, Packets_Sent: 1979, Status: OK
[2025-01-01 00:53:00] Temperature: 31.0°C, Voltage: 3.54V, Current: 1.26A, Signal_Strength: -46dBm, Antenna_Angle: 82.97°, Roll: 1.28°, Pitch: 1.01°, Yaw: 220.35°, Packets_Sent: 1607, Status: OK
[2025-01-01 00:54:00] Temperature: 20.7°C, Voltage: 3.69V, Current: 1.40A, Signal_Strength: -66dBm, Antenna_Angle: 177.29°, Roll: 1.90°, Pitch: -1.09°, Yaw: 145.86°, Packets_Sent: 1534, Status: OK
[2025-01-01 00:55:00] Temperature: 21.8°C, Voltage: 3.64V, Current: 1.25A, Signal_Strength: -58dBm, Antenna_Angle: 158.98°, Roll: 1.80°, Pitch: -0.93°, Yaw: 346.77°, Packets_Sent: 1028, Status: OK
[2025-01-01 00:56:00] Temperature: 38.0°C, Voltage: 3.84V, Current: 1.13A, Signal_Strength: -55dBm, Antenna_Angle: 329.09°, Roll: 1.22°, Pitch: 1.10°, Yaw: 157.30°, Packets_Sent: 1367, Status: OK
[2025-01-01 00:57:00] Temperature: 39.4°C, Voltage: 3.61V, Current: 0.43A, Signal_Strength: -70dBm, Antenna_Angle: 305.92°, Roll: 1.79°, Pitch: 0.68°, Yaw: 85.42°, Packets_Sent: 1271, Status: OK
[2025-01-01 00:58:00] Temperature: 39.3°C, Voltage: 3.83V, Current: 1.18A, Signal_Strength: -51dBm, Antenna_Angle: 50.94°, Roll: 1.46°, Pitch: 0.09°, Yaw: 154.49°, Packets_Sent: 1937, Status: OK
[2025-01-01 00:59:00] Temperature: 17.7°C, Voltage: 3.50V, Current: 0.54A, Signal_Strength: -69dBm, Antenna_Angle: 288.81°, Roll: -0.94°, Pitch: 0.63°, Yaw: 116.01°, Packets_Sent: 1054, Status: OK
[2025-01-01 01:00:00] Temperature: 26.3°C, Voltage: 3.82V, Current: 1.04A, Signal_Strength: -51dBm, Antenna_Angle: 196.75°, Roll: 1.37°, Pitch: 1.24°, Yaw: 311.44°, Packets_Sent: 1200, Status: OK
[2025-01-01 01:01:00] Temperature: 37.7°C, Voltage: 3.58V, Current: 1.46A, Signal_Strength: -56dBm, Antenna_Angle: 98.22°, Roll: 0.80°, Pitch: -1.28°, Yaw: 247.11°, Packets_Sent: 1662, Status: OK
[2025-01-01 01:02:00] Temperature: 23.6°C, Voltage: 3.48V, Current: 0.97A, Signal_Strength: -51dBm, Antenna_Angle: 247.50°, Roll: -1.66°, Pitch: -0.47°, Yaw: 162.05°, Packets_Sent: 1601, Status: OK
[2025-01-01 01:03:00] Temperature: 15.5°C, Voltage: 3.59V, Current: 0.46A, Signal_Strength: -58dBm, Antenna_Angle: 233.30°, Roll: 0.76°, Pitch: -1.13°, Yaw: 301.49°, Packets_Sent: 1105, Status: OK
[2025-01-01 01:04:00] Temperature: 30.4°C, Voltage: 3.76V, Current: 0.99A, Signal_Strength: -48dBm, Antenna_Angle: 310.30°, Roll: -0.96°, Pitch: 0.68°, Yaw: 59.69°, Packets_Sent: 1064, Status: OK
[2025-01-01 01:05:00] Temperature: 22.8°C, Voltage: 3.66V, Current: 0.62A, Signal_Strength: -65dBm, Antenna_Angle: 350.91°, Roll: -1.55°, Pitch: -0.23°, Yaw: 195.01°, Packets_Sent: 1099, Status: OK
[2025-01-01 01:06:00] Temperature: 15.3°C, Voltage: 3.45V, Current: 0.93A, Signal_Strength: -52dBm, Antenna_Angle: 331.24°, Roll: 1.63°, Pitch: -1.82°, Yaw: 206.28°, Packets_Sent: 1859, Status: OK
[2025-01-01 01:07:00] Temperature: 34.8°C, Voltage: 3.64V, Current: 0.52A, Signal_Strength: -59dBm, Antenna_Angle: 279.16°, Roll: -1.42°, Pitch: 0.41°, Yaw: 0.93°, Packets_Sent: 1672, Status: OK
[2025-01-01 01:08:00] Temperature: 29.5°C, Voltage: 3.79V, Current: 1.10A, Signal_Strength: -69dBm, Antenna_Angle: 33.77°, Roll: -1.83°, Pitch: 0.18°, Yaw: 304.39°, Packets_Sent: 1201, Status: OK
[2025-01-01 01:09:00] Temperature: 16.5°C, Voltage: 3.57V, Current: 0.95A, Signal_Strength: -51dBm, Antenna_Angle: 80.05°, Roll: 1.54°, Pitch: 0.69°, Yaw: 139.36°, Packets_Sent: 1363, Status: OK
[2025-01-01 01:10:00] Temperature: 24.9°C, Voltage: 3.61V, Current: 1.08A, Signal_Strength: -61dBm, Antenna_Angle: 39.31°, Roll: -0.39°, Pitch: -0.71°, Yaw: 326.23°, Packets_Sent: 1070, Status: OK
[2025-01-01 01:11:00] Temperature: 33.3°C, Voltage: 3.46V, Current: 1.26A, Signal_Strength: -67dBm, Antenna_Angle: 287.13°, Roll: 1.86°, Pitch: 0.88°, Yaw: 270.24°, Packets_Sent: 967, Status: OK
[2025-01-01 01:12:00] Temperature: 21.9°C, Voltage: 3.50V, Current: 1.30A, Signal_Strength: -45dBm, Antenna_Angle: 253.85°, Roll: 0.73°, Pitch: -1.51°, Yaw: 24.89°, Packets_Sent: 1822, Status: OK
[2025-01-01 01:13:00] Temperature: 31.8°C, Voltage: 3.49V, Current: 0.84A, Signal_Strength: -59dBm, Antenna_Angle: 208.64°, Roll: 1.82°, Pitch: -0.15°, Yaw: 63.05°, Packets_Sent: 1851, Status: OK
[2025-01-01 01:14:00] Temperature: 42.7°C, Voltage: 3.48V, Current: 0.67A, Signal_Strength: -48dBm, Antenna_Angle: 262.30°, Roll: 1.81°, Pitch: -0.39°, Yaw: 1.24°, Packets_Sent: 1598, Status: OK
[2025-01-01 01:15:00] Temperature: 27.7°C, Voltage: 3.74V, Current: 1.23A, Signal_Strength: -58dBm, Antenna_Angle: 183.61°, Roll: 1.17°, Pitch: 0.06°, Yaw: 50.96°, Packets_Sent: 1651, Status: OK
[2025-01-01 01:16:00] Temperature: 33.1°C, Voltage: 3.53V, Current: 1.49A, Signal_Strength: -99dBm, Antenna_Angle: 272.15°, Roll: -1.23°, Pitch: 1.36°, Yaw: 229.95°, Packets_Sent: 1510, Status: Warning
[2025-01-01 01:17:00] Temperature: 41.6°C, Voltage: 3.58V, Current: 0.49A, Signal_Strength: -66dBm, Antenna_Angle: 330.57°, Roll: 0.30°, Pitch: 1.09°, Yaw: 254.16°, Packets_Sent: 1672, Status: OK
[2025-01-01 01:18:00] Temperature: 41.3°C, Voltage: 3.74V, Current: 0.73A, Signal_Strength: -48dBm, Antenna_Angle: 275.45°, Roll: 1.64°, Pitch: -1.02°, Yaw: 31.24°, Packets_Sent: 1208, Status: OK
[2025-01-01 01:19:00] Temperature: 30.4°C, Voltage: 3.70V, Current: 1.18A, Signal_Strength: -58dBm, Antenna_Angle: 4.30°, Roll: -0.64°, Pitch: 1.03°, Yaw: 217.04°, Packets_Sent: 1351, Status: OK
[2025-01-01 01:20:00] Temperature: 42.9°C, Voltage: 3.48V, Current: 0.93A, Signal_Strength: -74dBm, Antenna_Angle: 11.76°, Roll: 0.00°, Pitch: 1.63°, Yaw: 321.56°, Packets_Sent: 1741, Status: OK
[2025-01-01 01:21:00] Temperature: 18.9°C, Voltage: 3.81V, Current: 1.17A, Signal_Strength: -75dBm, Antenna_Angle: 33.56°, Roll: -0.99°, Pitch: 1.24°, Yaw: 273.87°, Packets_Sent: 1703, Status: OK
[2025-01-01 01:22:00] Temperature: 32.7°C, Voltage: 3.53V, Current: 0.89A, Signal_Strength: -58dBm, Antenna_Angle: 41.51°, Roll: 1.06°, Pitch: -0.39°, Yaw: 167.32°, Packets_Sent: 1828, Status: OK
[2025-01-01 01:23:00] Temperature: 40.7°C, Voltage: 3.45V, Current: 0.71A, Signal_Strength: -66dBm, Antenna_Angle: 339.02°, Roll: 0.71°, Pitch: 0.67°, Yaw: 83.94°, Packets_Sent: 1831, Status: OK
[2025-01-01 01:24:00] Temperature: 37.9°C, Voltage: 3.75V, Current: 0.45A, Signal_Strength: -68dBm, Antenna_Angle: 95.11°, Roll: 0.99°, Pitch: 0.89°, Yaw: 162.42°, Packets_Sent: 1760, Status: OK
[2025-01-01 01:25:00] Temperature: 44.5°C, Voltage: 3.81V, Current: 0.69A, Signal_Strength: -96dBm, Antenna_Angle: 41.87°, Roll: -0.79°, Pitch: -0.88°, Yaw: 191.99°, Packets_Sent: 900, Status: Warning
[2025-01-01 01:26:00] Temperature: 44.5°C, Voltage: 3.74V, Current: 0.64A, Signal_Strength: -71dBm, Antenna_Angle: 33.38°, Roll: -0.45°, Pitch: 1.43°, Yaw: 304.24°, Packets_Sent: 1605, Status: OK
[2025-01-01 01:27:00] Temperature: 16.5°C, Voltage: 3.69V, Current: 1.33A, Signal_Strength: -48dBm, Antenna_Angle: 129.55°, Roll: 1.21°, Pitch: -0.35°, Yaw: 42.25°, Packets_Sent: 1512, Status: OK
[2025-01-01 01:28:00] Temperature: 29.5°C, Voltage: 3.85V, Current: 0.92A, Signal_Strength: -66dBm, Antenna_Angle: 161.84°, Roll: 0.69°, Pitch: -0.60°, Yaw: 122.91°, Packets_Sent: 1493, Status: OK
[2025-01-01 01:29:00] Temperature: 32.0°C, Voltage: 3.63V, Current: 0.58A, Signal_Strength: -55dBm, Antenna_Angle: 75.63°, Roll: -0.65°, Pitch: 1.77°, Yaw: 244.90°, Packets_Sent: 1938, Status: OK
[2025-01-01 01:30:00] Temperature: 32.4°C, Voltage: 3.69V, Current: 0.68A, Signal_Strength: -54dBm, Antenna_Angle: 190.23°, Roll: 0.97°, Pitch: -1.95°, Yaw: 156.19°, Packets_Sent: 1614, Status: OK
[2025-01-01 01:31:00] Temperature: 36.9°C, Voltage: 3.52V, Current: 1.35A, Signal_Strength: -56dBm, Antenna_Angle: 310.64°, Roll: -1.13°, Pitch: -1.47°, Yaw: 147.51°, Packets_Sent: 1038, Status: OK
[2025-01-01 01:32:00] Temperature: 16.0°C, Voltage: 3.76V, Current: 0.89A, Signal_Strength: -62dBm, Antenna_Angle: 164.23°, Roll: -0.13°, Pitch: 1.03°, Yaw: 73.84°, Packets_Sent: 1667, Status: OK
[2025-01-01 01:33:00] Temperature: 39.8°C, Voltage: 3.51V, Current: 0.65A, Signal_Strength: -61dBm, Antenna_Angle: 66.14°, Roll: -1.72°, Pitch: 1.14°, Yaw: 19.86°, Packets_Sent: 1809, Status: OK
[2025-01-01 01:34:00] Temperature: 22.2°C, Voltage: 3.59V, Current: 0.54A, Signal_Strength: -57dBm, Antenna_Angle: 62.06°, Roll: -0.37°, Pitch: 1.87°, Yaw: 235.13°, Packets_Sent: 966, Status: OK
[2025-01-01 01:35:00] Temperature: 21.1°C, Voltage: 3.54V, Current: 1.15A, Signal_Strength: -52dBm, Antenna_Angle: 18.68°, Roll: -1.14°, Pitch: 0.36°, Yaw: 82.72°, Packets_Sent: 1193, Status: OK
[2025-01-01 01:36:00] Temperature: 15.7°C, Voltage: 3.61V, Current: 1.18A, Signal_Strength: -74dBm, Antenna_Angle: 305.33°, Roll: 0.26°, Pitch: 1.90°, Yaw: 254.77°, Packets_Sent: 1673, Status: OK
[2025-01-01 01:37:00] Temperature: 15.1°C, Voltage: 3.69V, Current: 1.12A, Signal_Strength: -69dBm, Antenna_Angle: 157.55°, Roll: -0.71°, Pitch: -1.44°, Yaw: 109.98°, Packets_Sent: 1702, Status: OK
[2025-01-01 01:38:00] Temperature: 25.3°C, Voltage: 3.64V, Current: 1.32A, Signal_Strength: -74dBm, Antenna_Angle: 137.71°, Roll: -0.98°, Pitch: 1.54°, Yaw: 200.04°, Packets_Sent: 1442, Status: OK
[2025-01-01 01:39:00] Temperature: 29.4°C, Voltage: 3.83V, Current: 0.67A, Signal_Strength: -72dBm, Antenna_Angle: 208.31°, Roll: 1.13°, Pitch: -0.98°, Yaw: 130.36°, Packets_Sent: 1965, Status: OK
[2025-01-01 01:40:00] Temperature: 42.1°C, Voltage: 3.66V, Current: 0.41A, Signal_Strength: -68dBm, Antenna_Angle: 159.86°, Roll: 1.88°, Pitch: -0.54°, Yaw: 288.25°, Packets_Sent: 1519, Status: OK
[2025-01-01 01:41:00] Temperature: 40.8°C, Voltage: 3.83V, Current: 1.01A, Signal_Strength: -56dBm, Antenna_Angle: 160.78°, Roll: -1.89°, Pitch: -1.28°, Yaw: 82.32°, Packets_Sent: 1712, Status: OK
[2025-01-01 01:42:00] Temperature: 18.9°C, Voltage: 3.50V, Current: 1.38A, Signal_Strength: -47dBm, Antenna_Angle: 12.31°, Roll: 0.49°, Pitch: 0.87°, Yaw: 117.37°, Packets_Sent: 1090, Status: OK
[2025-01-01 01:43:00] Temperature: 27.4°C, Voltage: 3.53V, Current: 1.05A, Signal_Strength: -58dBm, Antenna_Angle: 47.42°, Roll: 0.26°, Pitch: 1.11°, Yaw: 57.41°, Packets_Sent: 1866, Status: OK
[2025-01-01 01:44:00] Temperature: 29.9°C, Voltage: 3.78V, Current: 1.17A, Signal_Strength: -67dBm, Antenna_Angle: 56.70°, Roll: 0.27°, Pitch: 1.19°, Yaw: 62.52°, Packets_Sent: 1534, Status: OK
[2025-01-01 01:45:00] Temperature: 72.3°C, Voltage: 3.72V, Current: 0.83A, Signal_Strength: -66dBm, Antenna_Angle: 153.76°, Roll: -1.22°, Pitch: -1.27°, Yaw: 200.41°, Packets_Sent: 1380, Status: Warning
[2025-01-01 01:46:00] Temperature: 17.4°C, Voltage: 3.47V, Current: 0.98A, Signal_Strength: -66dBm, Antenna_Angle: 246.51°, Roll: 1.76°, Pitch: -1.41°, Yaw: 57.31°, Packets_Sent: 1207, Status: OK
[2025-01-01 01:47:00] Temperature: 37.6°C, Voltage: 3.48V, Current: 1.38A, Signal_Strength: -64dBm, Antenna_Angle: 131.96°, Roll: -1.73°, Pitch: -0.90°, Yaw: 179.38°, Packets_Sent: 1456, Status: OK
[2025-01-01 01:48:00] Temperature: 40.9°C, Voltage: 3.48V, Current: 1.36A, Signal_Strength: -67dBm, Antenna_Angle: 149.41°, Roll: -0.72°, Pitch: 0.96°, Yaw: 280.76°, Packets_Sent: 1855, Status: OK
[2025-01-01 01:49:00] Temperature: 27.2°C, Voltage: 3.72V, Current: 0.89A, Signal_Strength: -67dBm, Antenna_Angle: 297.08°, Roll: 1.47°, Pitch: -0.41°, Yaw: 173.26°, Packets_Sent: 1370, Status: OK
