--- Cartosat-2E Logs ---
[2025-01-01 00:00:00] Temperature: 34.8°C, Voltage: 3.66V, Current: 1.13A, Signal_Strength: -74dBm, Antenna_Angle: 274.67°, Roll: 1.64°, Pitch: 1.02°, Yaw: 121.04°, Packets_Sent: 953, Status: OK
[2025-01-01 00:11:00] Temperature: 26.2°C, Voltage: 3.83V, Current: 0.72A, Signal_Strength: -74dBm, Antenna_Angle: 132.59°, Roll: 1.72°, Pitch: 1.65°, Yaw: 9.19°, Packets_Sent: 1495, Status: OK
[2025-01-01 00:12:00] Temperature: 39.2°C, Voltage: 3.65V, Current: 1.26A, Signal_Strength: -60dBm, Antenna_Angle: 209.33°, Roll: 1.76°, Pitch: -0.48°, Yaw: 209.76°, Packets_Sent: 1604, Status: OK
[2025-01-01 00:13:00] Temperature: 19.5°C, Voltage: 3.76V, Current: 1.11A, Signal_Strength: -46dBm, Antenna_Angle: 345.10°, Roll: 0.26°, Pitch: 1.99°, Yaw: 226.91°, Packets_Sent: 1359, Status: OK
[2025-01-01 00:14:00] Temperature: 31.2°C, Voltage: 3.50V, Current: 1.37A, Signal_Strength: -51dBm, Antenna_Angle: 218.55°, Roll: 0.08°, Pitch: -0.73°, Yaw: 70.21°, Packets_Sent: 1974, Status: OK
[2025-01-01 00:15:00] Temperature: 42.3°C, Voltage: 3.58V, Current: 1.28A, Signal_Strength: -46dBm, Antenna_Angle: 83.12°, Roll: 0.99°, Pitch: -1.54°, Yaw: 86.77°, Packets_Sent: 1544, Status: OK
[2025-01-01 00:16:00] Temperature: 41.4°C, Voltage: 3.59V, Current: 0.79A, Signal_Strength: -60dBm, Antenna_Angle: 329.26°, Roll: 0.42°, Pitch: -0.20°, Yaw: 150.78°, Packets_Sent: 1891, Status: OK
[2025-01-01 00:17:00] Temperature: 39.8°C, Voltage: 3.50V, Current: 0.99A, Signal_Strength: -52dBm, Antenna_Angle: 146.74°, Roll: 0.42°, Pitch: 1.18°, Yaw: 122.96°, Packets_Sent: 1182, Status: OK
[2025-01-01 00:18:00] Temperature: 27.3°C, Voltage: 3.65V, Current: 0.56A, Signal_Strength: -60dBm, Antenna_Angle: 317.31°, Roll: 1.60°, Pitch: 1.51°, Yaw: 5.58°, Packets_Sent: 1305, Status: OK
[2025-01-01 00:19:00] Temperature: 22.9°C, Voltage: 3.67V, Current: 1.42A, Signal_Strength: -53dBm, Antenna_Angle: 45.50°, Roll: 1.34°, Pitch: -1.90°, Yaw: 60.10°, Packets_Sent: 969, Status: OK
[2025-01-01 00:20:00] Temperature: 30.4°C, Voltage: 3.66V, Current: 0.83A, Signal_Strength: -62dBm, Antenna_Angle: 45.88°, Roll: 0.85°, Pitch: -1.52°, Yaw: 323.06°, Packets_Sent: 1394, Status: OK
[2025-01-01 00:21:00] Temperature: 32.7°C, Voltage: 3.70V, Current: 1.49A, Signal_Strength: -74dBm, Antenna_Angle: 265.94°, Roll: 1.80°, Pitch: 1.64°, Yaw: 227.09°, Packets_Sent: 1626, Status: OK
[2025-01-01 00:22:00] Temperature: 28.1°C, Voltage: 3.75V, Current: 1.17A, Signal_Strength: -53dBm, Antenna_Angle: 260.53°, Roll: -1.66°, Pitch: 1.58°, Yaw: 213.67°, Packets_Sent: 1943, Status: OK
[2025-01-01 00:23:00] Temperature: 34.5°C, Voltage: 3.60V, Current: 0.88A, Signal_Strength: -60dBm, Antenna_Angle: 211.70°, Roll: -1.07°, Pitch: -0.03°, Yaw: 17.38°, Packets_Sent: 1098, Status: OK
[2025-01-01 00:24:00] Temperature: 30.8°C, Voltage: 3.65V, Current: 1.42A, Signal_Strength: -66dBm, Antenna_Angle: 138.26°, Roll: 1.81°, Pitch: -1.83°, Yaw: 340.21°, Packets_Sent: 1265, Status: OK
[2025-01-01 00:25:00] Temperature: 36.9°C, Voltage: 3.62V, Current: 0.71A, Signal_Strength: -49dBm, Antenna_Angle: 113.17°, Roll: -0.86°, Pitch: -1.53°, Yaw: 98.58°, Packets_Sent: 1611, Status: OK
[2025-01-01 00:26:00] Temperature: 41.6°C, Voltage: 3.57V, Current: 1.41A, Signal_Strength: -45dBm, Antenna_Angle: 271.24°, Roll: 0.67°, Pitch: -1.44°, Yaw: 74.46°, Packets_Sent: 1374, Status: OK
[2025-01-01 00:27:00] Temperature: 37.6°C, Voltage: 3.46V, Current: 1.39A, Signal_Strength: -46dBm, Antenna_Angle: 194.33°, Roll: -1.97°, Pitch: 1.33°, Yaw: 9.28°, Packets_Sent: 1299, Status: OK
[2025-01-01 00:28:00] Temperature: 43.3°C, Voltage: 3.68V, Current: 1.21A, Signal_Strength: -59dBm, Antenna_Angle: 299.17°, Roll: 1.67°, Pitch: 0.87°, Yaw: 330.90°, Packets_Sent: 1504, Status: OK
[2025-01-01 00:29:00] Temperature: 41.7°C, Voltage: 3.65V, Current: 0.50A, Signal_Strength: -71dBm, Antenna_Angle: 100.24°, Roll: 1.87°, Pitch: 1.21°, Yaw: 267.93°, Packets_Sent: 1138, Status: OK
[2025-01-01 00:30:00] Temperature: 17.2°C, Voltage: 3.51V, Current: 0.77A, Signal_Strength: -61dBm, Antenna_Angle: 264.78°, Roll: 0.83°, Pitch: -0.74°, Yaw: 332.89°, Packets_Sent: 1051, Status: OK
[2025-01-01 00:31:00] Temperature: 43.0°C, Voltage: 3.77V, Current: 0.75A, Signal_Strength: -50dBm, Antenna_Angle: 238.00°, Roll: 1.80°, Pitch: 0.51°, Yaw: 88.53°, Packets_Sent: 972, Status: OK
[2025-01-01 00:32:00] Temperature: 41.2°C, Voltage: 3.54V, Current: 0.62A, Signal_Strength: -61dBm, Antenna_Angle: 174.42°, Roll: 0.93°, Pitch: -0.87°, Yaw: 71.48°, Packets_Sent: 1283, Status: OK
[2025-01-01 00:33:00] Temperature: 43.5°C, Voltage: 3.79V, Current: 1.22A, Signal_Strength: -75dBm, Antenna_Angle: 24.21°, Roll: 0.84°, Pitch: -1.84°, Yaw: 247.67°, Packets_Sent: 1327, Status: OK
[2025-01-01 00:34:00] Temperature: 33.9°C, Voltage: 3.54V, Current: 0.78A, Signal_Strength: -59dBm, Antenna_Angle: 343.55°, Roll: 1.36°, Pitch: 1.50°, Yaw: 240.46°, Packets_Sent: 1514, Status: OK
[2025-01-01 00:35:00] Temperature: 33.9°C, Voltage: 3.69V, Current: 1.00A, Signal_Strength: -66dBm, Antenna_Angle: 78.81°, Roll: -0.32°, Pitch: -0.21°, Yaw: 89.06°, Packets_Sent: 1488, Status: OK
[2025-01-01 00:36:00] Temperature: 20.3°C, Voltage: 3.83V, Current: 1.13A, Signal_Strength: -65dBm, Antenna_Angle: 143.31°, Roll: 1.09°, Pitch: -0.07°, Yaw: 289.69°, Packets_Sent: 1162, Status: OK
[2025-01-01 00:37:00] Temperature: 27.4°C, Voltage: 3.54V, Current: 0.72A, Signal_Strength: -60dBm, Antenna_Angle: 320.32°, Roll: -1.76°, Pitch: 1.09°, Yaw: 94.18°, Packets_Sent: 1737, Status: OK
[2025-01-01 00:38:00] Temperature: 26.7°C, Voltage: 3.63V, Current: 0.84A, Signal_Strength: -48dBm, Antenna_Angle: 96.59°, Roll: -0.64°, Pitch: 1.27°, Yaw: 111.06°, Packets_Sent: 1348, Status: OK
[2025-01-01 00:39:00] Temperature: 76.8°C, Voltage: 3.02V, Current: 0.63A, Signal_Strength: -96dBm, Antenna_Angle: 341.23°, Roll: -1.48°, Pitch: 0.16°, Yaw: 342.09°, Packets_Sent: 1575, Status: Warning
[2025-01-01 00:40:00] Temperature: 38.0°C, Voltage: 3.67V, Current: 1.12A, Signal_Strength: -59dBm, Antenna_Angle: 130.35°, Roll: 1.94°, Pitch: 1.35°, Yaw: 142.39°, Packets_Sent: 1306, Status: OK
[2025-01-01 00:41:00] Temperature: 23.7°C, Voltage: 3.51V, Current: 0.81A, Signal_Strength: -63dBm, Antenna_Angle: 199.06°, Roll: 1.76°, Pitch: -1.86°, Yaw: 7.21°, Packets_Sent: 1409, Status: OK
[2025-01-01 00:42:00] Temperature: 18.1°C, Voltage: 3.61V, Current: 0.93A, Signal_Strength: -70dBm, Antenna_Angle: 108.52°, Roll: 0.53°, Pitch: 0.75°, Yaw: 12.16°, Packets_Sent: 1371, Status: OK
[2025-01-01 00:43:00] Temperature: 39.4°C, Voltage: 3.60V, Current: 0.84A, Signal_Strength: -50dBm, Antenna_Angle: 315.58°, Roll: -1.69°, Pitch: 0.02°, Yaw: 253.25°, Packets_Sent: 1073, Status: OK
[2025-01-01 00:44:00] Temperature: 15.6°C, Voltage: 3.75V, Current: 1.00A, Signal_Strength: -47dBm, Antenna_Angle: 34.40°, Roll: -1.22°, Pitch: 0.42°, Yaw: 112.39°, Packets_Sent: 1701, Status: OK
[2025-01-01 00:45:00] Temperature: 30.4°C, Voltage: 3.46V, Current: 0.70A, Signal_Strength: -69dBm, Antenna_Angle: 95.13°, Roll: -0.49°, Pitch: -0.28°, Yaw: 80.01°, Packets_Sent: 1865, Status: OK
[2025-01-01 00:46:00] Temperature: 23.4°C, Voltage: 3.56V, Current: 1.17A, Signal_Strength: -60dBm, Antenna_Angle: 137.66°, Roll: 0.91°, Pitch: 1.81°, Yaw: 274.56°, Packets_Sent: 1917, Status: OK
[2025-01-01 00:47:00] Temperature: 28.6°C, Voltage: 3.68V, Current: 0.43A, Signal_Strength: -52dBm, Antenna_Angle: 160.95°, Roll: 0.25°, Pitch: 0.57°, Yaw: 119.67°, Packets_Sent: 1876, Status: OK
[2025-01-01 00:48:00] Temperature: 44.3°C, Voltage: 3.49V, Current: 0.59A, Signal_Strength: -49dBm, Antenna_Angle: 176.33°, Roll: -1.66°, Pitch: -0.39°, Yaw: 301.70°, Packets_Sent: 1411, Status: OK
[2025-01-01 00:49:00] Temperature: 40.2°C, Voltage: 3.75V, Current: 0.46A, Signal_Strength: -60dBm, Antenna_Angle: 148.26°, Roll: 1.34°, Pitch: -1.85°, Yaw: 248.03°, Packets_Sent: 1591, Status: OK
[2025-01-01 00:50:00] Temperature: 41.1°C, Voltage: 3.56V, Current: 0.63A, Signal_Strength: -58dBm, Antenna_Angle: 175.94°, Roll: -0.75°, Pitch: 0.61°, Yaw: 115.86°, Packets_Sent: 1923, Status: OK
[2025-01-01 00:51:00] Temperature: 30.4°C, Voltage: 3.79V, Current: 1.49A, Signal_Strength: -73dBm, Antenna_Angle: 37.81°, Roll: -0.50°, Pitch: 1.03°, Yaw: 58.35°, Packets_Sent: 1058, Status: OK
[2025-01-01 00:52:00] Temperature: 20.0°C, Voltage: 3.63V, Current: 1.47A, Signal_Strength: -74dBm, Antenna_Angle: 152.70°, Roll: 0.50°, Pitch: 0.10°, Yaw: 50.35°, Packets_Sent: 1249, Status: OK
[2025-01-01 00:53:00] Temperature: 27.5°C, Voltage: 3.45V, Current: 0.53A, Signal_Strength: -45dBm, Antenna_Angle: 259.17°, Roll: 0.09°, Pitch: 0.46°, Yaw: 133.78°, Packets_Sent: 1455, Status: OK
[2025-01-01 00:54:00] Temperature: 19.2°C, Voltage: 3.66V, Current: 0.62A, Signal_Strength: -57dBm, Antenna_Angle: 257.20°, Roll: 0.42°, Pitch: -0.11°, Yaw: 75.82°, Packets_Sent: 1963, Status: OK
[2025-01-01 00:55:00] Temperature: 77.6°C, Voltage: 3.85V, Current: 1.42A, Signal_Strength: -70dBm, Antenna_Angle: 257.42°, Roll: -1.96°, Pitch: -0.33°, Yaw: 54.12°, Packets_Sent: 1870, Status: Warning
[2025-01-01 00:56:00] Temperature: 20.6°C, Voltage: 3.73V, Current: 0.99A, Signal_Strength: -65dBm, Antenna_Angle: 22.00°, Roll: 0.38°, Pitch: -1.73°, Yaw: 229.08°, Packets_Sent: 1859, Status: OK
[2025-01-01 00:57:00] Temperature: 25.3°C, Voltage: 3.46V, Current: 0.61A, Signal_Strength: -66dBm, Antenna_Angle: 328.13°, Roll: 0.34°, Pitch: -0.78°, Yaw: 224.81°, Packets_Sent: 1772, Status: OK
[2025-01-01 00:58:00] Temperature: 22.6°C, Voltage: 3.67V, Current: 1.13A, Signal_Strength: -73dBm, Antenna_Angle: 54.87°, Roll: -0.88°, Pitch: -0.95°, Yaw: 36.83°, Packets_Sent: 1343, Status: OK
[2025-01-01 00:59:00] Temperature: 32.6°C, Voltage: 3.76V, Current: 0.76A, Signal_Strength: -52dBm, Antenna_Angle: 213.18°, Roll: 1.87°, Pitch: 0.95°, Yaw: 221.71°, Packets_Sent: 1467, Status: OK
[2025-01-01 01:00:00] Temperature: 21.3°C, Voltage: 3.45V, Current: 0.66A, Signal_Strength: -69dBm, Antenna_Angle: 334.63°, Roll: -1.43°, Pitch: -0.10°, Yaw: 0.09°, Packets_Sent: 1200, Status: OK
[2025-01-01 01:01:00] Temperature: 44.1°C, Voltage: 3.50V, Current: 1.29A, Signal_Strength: -62dBm, Antenna_Angle: 169.80°, Roll: 0.00°, Pitch: -1.53°, Yaw: 201.65°, Packets_Sent: 1519, Status: OK
[2025-01-01 01:02:00] Temperature: 26.6°C, Voltage: 3.64V, Current: 0.74A, Signal_Strength: -59dBm, Antenna_Angle: 191.04°, Roll: 1.82°, Pitch: 1.78°, Yaw: 300.09°, Packets_Sent: 1338, Status: OK
[2025-01-01 01:03:00] Temperature: 40.2°C, Voltage: 3.67V, Current: 0.94A, Signal_Strength: -51dBm, Antenna_Angle: 246.73°, Roll: 0.61°, Pitch: -1.29°, Yaw: 311.80°, Packets_Sent: 1791, Status: OK
[2025-01-01 01:04:00] Temperature: 82.2°C, Voltage: 2.72V, Current: 0.87A, Signal_Strength: -101dBm, Antenna_Angle: 315.46°, Roll: -0.47°, Pitch: -1.28°, Yaw: 269.14°, Packets_Sent: 1291, Status: Critical
[2025-01-01 01:05:00] Temperature: 24.9°C, Voltage: 3.81V, Current: 1.41A, Signal_Strength: -101dBm, Antenna_Angle: 4.68°, Roll: -1.87°, Pitch: -0.90°, Yaw: 172.34°, Packets_Sent: 1459, Status: Critical
[2025-01-01 01:06:00] Temperature: 16.7°C, Voltage: 3.68V, Current: 0.43A, Signal_Strength: -53dBm, Antenna_Angle: 169.49°, Roll: -0.04°, Pitch: -0.11°, Yaw: 314.97°, Packets_Sent: 1830, Status: OK
[2025-01-01 01:07:00] Temperature: 39.2°C, Voltage: 3.47V, Current: 0.43A, Signal_Strength: -48dBm, Antenna_Angle: 55.15°, Roll: 1.48°, Pitch: -1.47°, Yaw: 151.04°, Packets_Sent: 1262, Status: OK
[2025-01-01 01:08:00] Temperature: 16.7°C, Voltage: 3.70V, Current: 0.47A, Signal_Strength: -72dBm, Antenna_Angle: 195.86°, Roll: 0.62°, Pitch: 0.95°, Yaw: 119.76°, Packets_Sent: 1297, Status: OK
[2025-01-01 01:09:00] Temperature: 42.0°C, Voltage: 3.81V, Current: 0.59A, Signal_Strength: -45dBm, Antenna_Angle: 259.96°, Roll: 0.07°, Pitch: 1.76°, Yaw: 145.14°, Packets_Sent: 1650, Status: OK
[2025-01-01 01:10:00] Temperature: 35.1°C, Voltage: 3.48V, Current: 1.31A, Signal_Strength: -60dBm, Antenna_Angle: 262.42°, Roll: -1.31°, Pitch: -1.82°, Yaw: 219.06°, Packets_Sent: 1071, Status: OK
[2025-01-01 01:11:00] Temperature: 27.3°C, Voltage: 3.70V, Current: 1.33A, Signal_Strength: -47dBm, Antenna_Angle: 112.02°, Roll: -1.53°, Pitch: -0.13°, Yaw: 300.99°, Packets_Sent: 1618, Status: OK
[2025-01-01 01:12:00] Temperature: 42.9°C, Voltage: 3.49V, Current: 1.41A, Signal_Strength: -70dBm, Antenna_Angle: 31.11°, Roll: 0.36°, Pitch: 1.86°, Yaw: 276.01°, Packets_Sent: 1550, Status: OK
[2025-01-01 01:13:00] Temperature: 21.5°C, Voltage: 3.60V, Current: 0.49A, Signal_Strength: -53dBm, Antenna_Angle: 88.82°, Roll: 0.99°, Pitch: 0.95°, Yaw: 111.77°, Packets_Sent: 1291, Status: OK
[2025-01-01 01:14:00] Temperature: 23.6°C, Voltage: 3.56V, Current: 1.02A, Signal_Strength: -63dBm, Antenna_Angle: 300.69°, Roll: 1.53°, Pitch: -1.29°, Yaw: 106.17°, Packets_Sent: 1458, Status: OK
[2025-01-01 01:15:00] Temperature: 22.9°C, Voltage: 3.65V, Current: 1.04A, Signal_Strength: -65dBm, Antenna_Angle: 231.05°, Roll: 1.32°, Pitch: 0.75°, Yaw: 61.37°, Packets_Sent: 1820, Status: OK
[2025-01-01 01:16:00] Temperature: 32.6°C, Voltage: 3.51V, Current: 1.03A, Signal_Strength: -45dBm, Antenna_Angle: 156.18°, Roll: -1.17°, Pitch: 0.80°, Yaw: 181.35°, Packets_Sent: 1491, Status: OK
[2025-01-01 01:17:00] Temperature: 38.8°C, Voltage: 3.49V, Current: 1.25A, Signal_Strength: -67dBm, Antenna_Angle: 168.36°, Roll: 1.69°, Pitch: 0.07°, Yaw: 227.19°, Packets_Sent: 964, Status: OK
[2025-01-01 01:18:00] Temperature: 84.5°C, Voltage: 2.80V, Current: 1.02A, Signal_Strength: -96dBm, Antenna_Angle: 324.45°, Roll: 0.81°, Pitch: 0.52°, Yaw: 312.95°, Packets_Sent: 1560, Status: Critical
[2025-01-01 01:19:00] Temperature: 20.6°C, Voltage: 3.59V, Current: 0.58A, Signal_Strength: -59dBm, Antenna_Angle: 270.73°, Roll: 1.24°, Pitch: -0.17°, Yaw: 207.34°, Packets_Sent: 1799, Status: OK
[2025-01-01 01:20:00] Temperature: 27.0°C, Voltage: 3.78V, Current: 0.68A, Signal_Strength: -64dBm, Antenna_Angle: 121.63°, Roll: -0.80°, Pitch: 1.88°, Yaw: 315.87°, Packets_Sent: 1721, Status: OK
[2025-01-01 01:21:00] Temperature: 42.0°C, Voltage: 3.65V, Current: 0.86A, Signal_Strength: -52dBm, Antenna_Angle: 343.42°, Roll: 0.37°, Pitch: -1.34°, Yaw: 59.90°, Packets_Sent: 1720, Status: OK
[2025-01-01 01:22:00] Temperature: 32.9°C, Voltage: 3.73V, Current: 0.98A, Signal_Strength: -46dBm, Antenna_Angle: 204.47°, Roll: -1.48°, Pitch: -0.67°, Yaw: 345.56°, Packets_Sent: 1185, Status: OK
[2025-01-01 01:23:00] Temperature: 24.3°C, Voltage: 3.76V, Current: 1.28A, Signal_Strength: -61dBm, Antenna_Angle: 59.52°, Roll: 0.63°, Pitch: -1.20°, Yaw: 61.94°, Packets_Sent: 901, Status: OK
[2025-01-01 01:24:00] Temperature: 20.5°C, Voltage: 3.79V, Current: 0.88A, Signal_Strength: -53dBm, Antenna_Angle: 55.49°, Roll: -1.98°, Pitch: -1.36°, Yaw: 35.97°, Packets_Sent: 1666, Status: OK
[2025-01-01 01:25:00] Temperature: 26.8°C, Voltage: 3.53V, Current: 0.92A, Signal_Strength: -64dBm, Antenna_Angle: 166.85°, Roll: 1.05°, Pitch: -1.62°, Yaw: 46.26°, Packets_Sent: 1397, Status: OK
[2025-01-01 01:26:00] Temperature: 19.0°C, Voltage: 3.76V, Current: 1.39A, Signal_Strength: -50dBm, Antenna_Angle: 262.93°, Roll: 0.39°, Pitch: 0.14°, Yaw: 124.87°, Packets_Sent: 1769, Status: OK
[2025-01-01 01:27:00] Temperature: 44.1°C, Voltage: 3.46V, Current: 1.37A, Signal_Strength: -70dBm, Antenna_Angle: 84.65°, Roll: -0.64°, Pitch: 1.29°, Yaw: 219.80°, Packets_Sent: 1641, Status: OK
[2025-01-01 01:28:00] Temperature: 42.4°C, Voltage: 3.71V, Current: 0.55A, Signal_Strength: -69dBm, Antenna_Angle: 76.04°, Roll: -1.63°, Pitch: -0.46°, Yaw: 64.75°, Packets_Sent: 1791, Status: OK
[2025-01-01 01:29:00] Temperature: 24.3°C, Voltage: 3.72V, Current: 0.93A, Signal_Strength: -67dBm, Antenna_Angle: 343.80°, Roll: -1.35°, Pitch: 0.73°, Yaw: 300.32°, Packets_Sent: 1267, Status: OK
[2025-01-01 01:30:00] Temperature: 17.5°C, Voltage: 3.72V, Current: 0.51A, Signal_Strength: -49dBm, Antenna_Angle: 289.27°, Roll: -1.36°, Pitch: -1.49°, Yaw: 182.50°, Packets_Sent: 925, Status: OK
[2025-01-01 01:31:00] Temperature: 15.3°C, Voltage: 3.71V, Current: 1.14A, Signal_Strength: -62dBm, Antenna_Angle: 19.62°, Roll: -0.97°, Pitch: 0.54°, Yaw: 217.30°, Packets_Sent: 1770, Status: OK
[2025-01-01 01:32:00] Temperature: 28.5°C, Voltage: 3.60V, Current: 0.92A, Signal_Strength: -65dBm, Antenna_Angle: 192.60°, Roll: -1.55°, Pitch: -1.28°, Yaw: 152.66°, Packets_Sent: 1647, Status: OK
[2025-01-01 01:33:00] Temperature: 41.1°C, Voltage: 3.48V, Current: 0.41A, Signal_Strength: -47dBm, Antenna_Angle: 254.72°, Roll: -1.21°, Pitch: 1.25°, Yaw: 261.94°, Packets_Sent: 1428, Status: OK
[2025-01-01 01:34:00] Temperature: 16.5°C, Voltage: 3.56V, Current: 0.53A, Signal_Strength: -60dBm, Antenna_Angle: 132.15°, Roll: -0.99°, Pitch: -0.65°, Yaw: 106.61°, Packets_Sent: 1656, Status: OK
[2025-01-01 01:35:00] Temperature: 31.3°C, Voltage: 3.52V, Current: 0.79A, Signal_Strength: -74dBm, Antenna_Angle: 116.86°, Roll: 0.38°, Pitch: -0.57°, Yaw: 13.18°, Packets_Sent: 972, Status: OK
[2025-01-01 01:36:00] Temperature: 22.5°C, Voltage: 3.48V, Current: 0.50A, Signal_Strength: -53dBm, Antenna_Angle: 227.84°, Roll: 1.57°, Pitch: -0.62°, Yaw: 164.89°, Packets_Sent: 1782, Status: OK
[2025-01-01 01:37:00] Temperature: 42.6°C, Voltage: 3.81V, Current: 1.43A, Signal_Strength: -50dBm, Antenna_Angle: 204.86°, Roll: -1.69°, Pitch: -0.51°, Yaw: 52.83°, Packets_Sent: 983, Status: OK
[2025-01-01 01:38:00] Temperature: 34.1°C, Voltage: 3.80V, Current: 0.82A, Signal_Strength: -46dBm, Antenna_Angle: 28.35°, Roll: -0.31°, Pitch: -1.91°, Yaw: 342.12°, Packets_Sent: 1518, Status: OK
[2025-01-01 01:39:00] Temperature: 34.6°C, Voltage: 3.80V, Current: 1.32A, Signal_Strength: -62dBm, Antenna_Angle: 41.91°, Roll: 0.28°, Pitch: 1.98°, Yaw: 221.60°, Packets_Sent: 1292, Status: OK
[2025-01-01 01:40:00] Temperature: 38.8°C, Voltage: 3.73V, Current: 0.45A, Signal_Strength: -58dBm, Antenna_Angle: 77.47°, Roll: -0.90°, Pitch: 0.76°, Yaw: 66.85°, Packets_Sent: 1794, Status: OK
[2025-01-01 01:41:00] Temperature: 16.4°C, Voltage: 3.61V, Current: 0.60A, Signal_Strength: -66dBm, Antenna_Angle: 1.82°, Roll: -1.93°, Pitch: -0.34°, Yaw: 46.71°, Packets_Sent: 1324, Status: OK
[2025-01-01 01:42:00] Temperature: 33.0°C, Voltage: 3.84V, Current: 0.75A, Signal_Strength: -68dBm, Antenna_Angle: 6.51°, Roll: -1.12°, Pitch: 0.45°, Yaw: 262.13°, Packets_Sent: 1564, Status: OK
[2025-01-01 01:43:00] Temperature: 28.8°C, Voltage: 3.62V, Current: 1.05A, Signal_Strength: -59dBm, Antenna_Angle: 171.21°, Roll: -0.63°, Pitch: -0.72°, Yaw: 296.14°, Packets_Sent: 925, Status: OK
[2025-01-01 01:44:00] Temperature: 40.6°C, Voltage: 3.65V, Current: 0.99A, Signal_Strength: -70dBm, Antenna_Angle: 140.42°, Roll: -1.87°, Pitch: 1.41°, Yaw: 348.37°, Packets_Sent: 1725, Status: OK
[2025-01-01 01:45:00] Temperature: 31.8°C, Voltage: 3.59V, Current: 0.63A, Signal_Strength: -45dBm, Antenna_Angle: 132.91°, Roll: 1.00°, Pitch: -0.19°, Yaw: 168.25°, Packets_Sent: 1497, Status: OK
[2025-01-01 01:46:00] Temperature: 32.5°C, Voltage: 3.70V, Current: 1.02A, Signal_Strength: -63dBm, Antenna_Angle: 275.37°, Roll: 0.23°, Pitch: -0.04°, Yaw: 84.50°, Packets_Sent: 1481, Status: OK
[2025-01-01 01:47:00] Temperature: 19.0°C, Voltage: 3.69V, Current: 1.33A, Signal_Strength: -72dBm, Antenna_Angle: 78.59°, Roll: 0.28°, Pitch: -1.29°, Yaw: 57.28°, Packets_Sent: 1126, Status: OK
[2025-01-01 01:48:00] Temperature: 37.0°C, Voltage: 3.61V, Current: 0.85A, Signal_Strength: -52dBm, Antenna_Angle: 150.54°, Roll: -0.72°, Pitch: -0.55°, Yaw: 38.03°, Packets_Sent: 1471, Status: OK
[2025-01-01 01:49:00] Temperature: 43.8°C, Voltage: 3.75V, Current: 0.75A, Signal_Strength: -59dBm, Antenna_Angle: 141.18°, Roll: -0.02°, Pitch: -0.14°, Yaw: 297.40°, Packets_Sent: 1727, Status: OK
