--- Cartosat-2F Logs ---
[2025-01-01 00:00:00] Temperature: 23.5°C, Voltage: 3.47V, Current: 0.90A, Signal_Strength: -55dBm, Antenna_Angle: 299.51°, Roll: -0.12°, Pitch: -1.57°, Yaw: 51.04°, Packets_Sent: 1715, Status: OK
[2025-01-01 00:33:00] Temperature: 24.1°C, Voltage: 3.14V, Current: 0.53A, Signal_Strength: -73dBm, Antenna_Angle: 249.54°, Roll: -1.90°, Pitch: 1.73°, Yaw: 2.25°, Packets_Sent: 1580, Status: Warning
[2025-01-01 00:34:00] Temperature: 26.2°C, Voltage: 3.54V, Current: 1.11A, Signal_Strength: -68dBm, Antenna_Angle: 345.04°, Roll: 0.57°, Pitch: 1.30°, Yaw: 356.82°, Packets_Sent: 1168, Status: OK
[2025-01-01 00:35:00] Temperature: 24.8°C, Voltage: 3.58V, Current: 0.63A, Signal_Strength: -65dBm, Antenna_Angle: 172.99°, Roll: -1.18°, Pitch: 0.53°, Yaw: 199.99°, Packets_Sent: 1968, Status: OK
[2025-01-01 00:36:00] Temperature: 18.0°C, Voltage: 3.57V, Current: 1.34A, Signal_Strength: -59dBm, Antenna_Angle: 137.90°, Roll: -1.42°, Pitch: 1.85°, Yaw: 248.52°, Packets_Sent: 1904, Status: OK
[2025-01-01 00:37:00] Temperature: 27.7°C, Voltage: 3.81V, Current: 1.27A, Signal_Strength: -53dBm, Antenna_Angle: 105.36°, Roll: -1.40°, Pitch: -1.97°, Yaw: 131.86°, Packets_Sent: 1746, Status: OK
[2025-01-01 00:38:00] Temperature: 37.2°C, Voltage: 3.52V, Current: 0.81A, Signal_Strength: -69dBm, Antenna_Angle: 345.12°, Roll: -1.13°, Pitch: 1.25°, Yaw: 254.72°, Packets_Sent: 1976, Status: OK
[2025-01-01 00:39:00] Temperature: 18.2°C, Voltage: 3.50V, Current: 1.32A, Signal_Strength: -71dBm, Antenna_Angle: 218.36°, Roll: 0.51°, Pitch: 0.50°, Yaw: 21.23°, Packets_Sent: 914, Status: OK
[2025-01-01 00:40:00] Temperature: 41.6°C, Voltage: 3.66V, Current: 0.86A, Signal_Strength: -60dBm, Antenna_Angle: 73.42°, Roll: -0.62°, Pitch: 0.13°, Yaw: 276.09°, Packets_Sent: 1848, Status: OK
[2025-01-01 00:41:00] Temperature: 36.2°C, Voltage: 3.72V, Current: 0.59A, Signal_Strength: -70dBm, Antenna_Angle: 126.03°, Roll: -0.72°, Pitch: 0.99°, Yaw: 130.74°, Packets_Sent: 1850, Status: OK
[2025-01-01 00:42:00] Temperature: 29.5°C, Voltage: 3.60V, Current: 1.35A, Signal_Strength: -47dBm, Antenna_Angle: 117.15°, Roll: 0.04°, Pitch: 1.10°, Yaw: 241.12°, Packets_Sent: 1084, Status: OK
[2025-01-01 00:43:00] Temperature: 42.0°C, Voltage: 3.67V, Current: 1.20A, Signal_Strength: -63dBm, Antenna_Angle: 197.77°, Roll: 0.87°, Pitch: 1.84°, Yaw: 232.34°, Packets_Sent: 1272, Status: OK
[2025-01-01 00:44:00] Temperature: 28.7°C, Voltage: 3.54V, Current: 0.89A, Signal_Strength: -53dBm, Antenna_Angle: 78.22°, Roll: 1.83°, Pitch: 1.70°, Yaw: 117.29°, Packets_Sent: 1281, Status: OK
[2025-01-01 00:45:00] Temperature: 32.3°C, Voltage: 3.68V, Current: 1.08A, Signal_Strength: -53dBm, Antenna_Angle: 317.35°, Roll: 0.93°, Pitch: 1.20°, Yaw: 236.60°, Packets_Sent: 1106, Status: OK
[2025-01-01 00:46:00] Temperature: 34.2°C, Voltage: 3.54V, Current: 1.01A, Signal_Strength: -68dBm, Antenna_Angle: 59.96°, Roll: 0.81°, Pitch: -1.02°, Yaw: 207.93°, Packets_Sent: 1644, Status: OK
[2025-01-01 00:47:00] Temperature: 21.1°C, Voltage: 3.67V, Current: 0.74A, Signal_Strength: -62dBm, Antenna_Angle: 176.07°, Roll: 0.95°, Pitch: 1.53°, Yaw: 78.79°, Packets_Sent: 1848, Status: OK
[2025-01-01 00:48:00] Temperature: 23.7°C, Voltage: 3.83V, Current: 1.03A, Signal_Strength: -67dBm, Antenna_Angle: 91.40°, Roll: 0.44°, Pitch: 0.90°, Yaw: 64.96°, Packets_Sent: 1920, Status: OK
[2025-01-01 00:49:00] Temperature: 39.7°C, Voltage: 3.79V, Current: 0.88A, Signal_Strength: -69dBm, Antenna_Angle: 62.76°, Roll: -1.35°, Pitch: -0.68°, Yaw: 240.01°, Packets_Sent: 1043, Status: OK
[2025-01-01 00:50:00] Temperature: 37.8°C, Voltage: 3.81V, Current: 1.19A, Signal_Strength: -69dBm, Antenna_Angle: 254.84°, Roll: -1.45°, Pitch: 1.80°, Yaw: 340.48°, Packets_Sent: 1569, Status: OK
[2025-01-01 00:51:00] Temperature: 18.9°C, Voltage: 3.46V, Current: 1.14A, Signal_Strength: -46dBm, Antenna_Angle: 48.50°, Roll: -0.41°, Pitch: 1.16°, Yaw: 310.66°, Packets_Sent: 1646, Status: OK
[2025-01-01 00:52:00] Temperature: 20.2°C, Voltage: 3.80V, Current: 0.69A, Signal_Strength: -58dBm, Antenna_Angle: 218.36°, Roll: 0.07°, Pitch: 0.02°, Yaw: 204.81°, Packets_Sent: 1853, Status: OK
[2025-01-01 00:53:00] Temperature: 21.3°C, Voltage: 3.75V, Current: 1.18A, Signal_Strength: -64dBm, Antenna_Angle: 185.16°, Roll: -1.05°, Pitch: 0.14°, Yaw: 332.74°, Packets_Sent: 1278, Status: OK
[2025-01-01 00:54:00] Temperature: 42.7°C, Voltage: 3.77V, Current: 1.29A, Signal_Strength: -74dBm, Antenna_Angle: 6.24°, Roll: -1.05°, Pitch: -0.45°, Yaw: 29.52°, Packets_Sent: 1518, Status: OK
[2025-01-01 00:55:00] Temperature: 38.8°C, Voltage: 3.58V, Current: 0.91A, Signal_Strength: -65dBm, Antenna_Angle: 313.85°, Roll: 1.49°, Pitch: 0.28°, Yaw: 334.26°, Packets_Sent: 1330, Status: OK
[2025-01-01 00:56:00] Temperature: 38.4°C, Voltage: 3.71V, Current: 0.58A, Signal_Strength: -47dBm, Antenna_Angle: 339.05°, Roll: 0.66°, Pitch: -1.63°, Yaw: 71.58°, Packets_Sent: 1613, Status: OK
[2025-01-01 00:57:00] Temperature: 41.0°C, Voltage: 3.65V, Current: 0.46A, Signal_Strength: -50dBm, Antenna_Angle: 328.19°, Roll: 1.97°, Pitch: -1.67°, Yaw: 247.23°, Packets_Sent: 1751, Status: OK
[2025-01-01 00:58:00] Temperature: 33.3°C, Voltage: 3.50V, Current: 0.84A, Signal_Strength: -56dBm, Antenna_Angle: 263.42°, Roll: -1.17°, Pitch: -1.53°, Yaw: 247.24°, Packets_Sent: 1136, Status: OK
[2025-01-01 00:59:00] Temperature: 28.8°C, Voltage: 3.64V, Current: 1.13A, Signal_Strength: -73dBm, Antenna_Angle: 218.10°, Roll: -1.54°, Pitch: -0.47°, Yaw: 37.62°, Packets_Sent: 1082, Status: OK
[2025-01-01 01:00:00] Temperature: 16.3°C, Voltage: 3.70V, Current: 0.44A, Signal_Strength: -71dBm, Antenna_Angle: 123.45°, Roll: 1.04°, Pitch: 1.73°, Yaw: 71.26°, Packets_Sent: 1983, Status: OK
[2025-01-01 01:01:00] Temperature: 36.9°C, Voltage: 3.46V, Current: 1.03A, Signal_Strength: -62dBm, Antenna_Angle: 121.43°, Roll: -1.95°, Pitch: -1.28°, Yaw: 234.22°, Packets_Sent: 1998, Status: OK
[2025-01-01 01:02:00] Temperature: 24.0°C, Voltage: 3.66V, Current: 0.56A, Signal_Strength: -51dBm, Antenna_Angle: 63.41°, Roll: -0.86°, Pitch: 1.16°, Yaw: 245.89°, Packets_Sent: 1084, Status: OK
[2025-01-01 01:03:00] Temperature: 19.2°C, Voltage: 3.58V, Current: 0.41A, Signal_Strength: -55dBm, Antenna_Angle: 353.50°, Roll: 0.39°, Pitch: -0.50°, Yaw: 6.16°, Packets_Sent: 1207, Status: OK
[2025-01-01 01:04:00] Temperature: 20.8°C, Voltage: 3.79V, Current: 1.49A, Signal_Strength: -65dBm, Antenna_Angle: 136.97°, Roll: 1.24°, Pitch: 0.94°, Yaw: 0.44°, Packets_Sent: 1035, Status: OK
[2025-01-01 01:05:00] Temperature: 36.5°C, Voltage: 3.68V, Current: 0.78A, Signal_Strength: -52dBm, Antenna_Angle: 210.04°, Roll: 1.11°, Pitch: -1.08°, Yaw: 163.34°, Packets_Sent: 934, Status: OK
[2025-01-01 01:06:00] Temperature: 20.7°C, Voltage: 3.82V, Current: 1.00A, Signal_Strength: -59dBm, Antenna_Angle: 139.45°, Roll: -1.15°, Pitch: -1.89°, Yaw: 338.94°, Packets_Sent: 1166, Status: OK
[2025-01-01 01:07:00] Temperature: 38.4°C, Voltage: 3.46V, Current: 1.49A, Signal_Strength: -47dBm, Antenna_Angle: 152.08°, Roll: 0.46°, Pitch: -0.08°, Yaw: 200.70°, Packets_Sent: 1641, Status: OK
[2025-01-01 01:08:00] Temperature: 20.0°C, Voltage: 3.70V, Current: 0.89A, Signal_Strength: -53dBm, Antenna_Angle: 30.73°, Roll: 1.45°, Pitch: -1.91°, Yaw: 82.15°, Packets_Sent: 1772, Status: OK
[2025-01-01 01:09:00] Temperature: 23.4°C, Voltage: 3.71V, Current: 1.39A, Signal_Strength: -65dBm, Antenna_Angle: 93.98°, Roll: 1.31°, Pitch: 0.74°, Yaw: 231.13°, Packets_Sent: 1224, Status: OK
[2025-01-01 01:10:00] Temperature: 36.3°C, Voltage: 3.56V, Current: 0.67A, Signal_Strength: -71dBm, Antenna_Angle: 221.80°, Roll: 1.83°, Pitch: 0.26°, Yaw: 276.62°, Packets_Sent: 1730, Status: OK
[2025-01-01 01:11:00] Temperature: 27.7°C, Voltage: 3.76V, Current: 1.09A, Signal_Strength: -64dBm, Antenna_Angle: 212.44°, Roll: -0.51°, Pitch: -0.30°, Yaw: 62.09°, Packets_Sent: 1612, Status: OK
[2025-01-01 01:12:00] Temperature: 29.4°C, Voltage: 3.49V, Current: 1.32A, Signal_Strength: -67dBm, Antenna_Angle: 156.30°, Roll: -1.82°, Pitch: -1.76°, Yaw: 42.66°, Packets_Sent: 1126, Status: OK
[2025-01-01 01:13:00] Temperature: 18.7°C, Voltage: 3.53V, Current: 1.29A, Signal_Strength: -53dBm, Antenna_Angle: 148.52°, Roll: -1.60°, Pitch: -0.41°, Yaw: 274.83°, Packets_Sent: 1370, Status: OK
[2025-01-01 01:14:00] Temperature: 19.9°C, Voltage: 3.66V, Current: 1.00A, Signal_Strength: -59dBm, Antenna_Angle: 292.43°, Roll: -0.21°, Pitch: -1.41°, Yaw: 10.97°, Packets_Sent: 1650, Status: OK
[2025-01-01 01:15:00] Temperature: 44.2°C, Voltage: 3.73V, Current: 0.91A, Signal_Strength: -69dBm, Antenna_Angle: 15.28°, Roll: -1.59°, Pitch: -1.78°, Yaw: 256.54°, Packets_Sent: 1827, Status: OK
[2025-01-01 01:16:00] Temperature: 44.1°C, Voltage: 3.78V, Current: 0.72A, Signal_Strength: -46dBm, Antenna_Angle: 343.39°, Roll: -0.80°, Pitch: 1.20°, Yaw: 62.99°, Packets_Sent: 1907, Status: OK
[2025-01-01 01:17:00] Temperature: 15.7°C, Voltage: 3.68V, Current: 0.60A, Signal_Strength: -59dBm, Antenna_Angle: 190.12°, Roll: -0.21°, Pitch: 0.81°, Yaw: 214.61°, Packets_Sent: 1627, Status: OK
[2025-01-01 01:18:00] Temperature: 21.1°C, Voltage: 3.67V, Current: 0.77A, Signal_Strength: -45dBm, Antenna_Angle: 289.31°, Roll: 0.43°, Pitch: -1.37°, Yaw: 291.54°, Packets_Sent: 1310, Status: OK
[2025-01-01 01:19:00] Temperature: 42.7°C, Voltage: 3.79V, Current: 1.38A, Signal_Strength: -62dBm, Antenna_Angle: 53.61°, Roll: 0.34°, Pitch: 0.10°, Yaw: 299.04°, Packets_Sent: 1623, Status: OK
[2025-01-01 01:20:00] Temperature: 72.9°C, Voltage: 3.46V, Current: 1.48A, Signal_Strength: -63dBm, Antenna_Angle: 153.20°, Roll: 1.86°, Pitch: 0.51°, Yaw: 8.98°, Packets_Sent: 1536, Status: Warning
[2025-01-01 01:21:00] Temperature: 32.7°C, Voltage: 3.72V, Current: 0.54A, Signal_Strength: -98dBm, Antenna_Angle: 7.07°, Roll: 0.34°, Pitch: 0.18°, Yaw: 338.92°, Packets_Sent: 1437, Status: Warning
[2025-01-01 01:22:00] Temperature: 24.5°C, Voltage: 3.72V, Current: 1.18A, Signal_Strength: -66dBm, Antenna_Angle: 61.96°, Roll: 0.44°, Pitch: 0.01°, Yaw: 290.81°, Packets_Sent: 1423, Status: OK
[2025-01-01 01:23:00] Temperature: 39.9°C, Voltage: 3.78V, Current: 1.42A, Signal_Strength: -63dBm, Antenna_Angle: 218.19°, Roll: 0.56°, Pitch: 0.59°, Yaw: 71.52°, Packets_Sent: 1909, Status: OK
[2025-01-01 01:24:00] Temperature: 35.6°C, Voltage: 3.78V, Current: 0.82A, Signal_Strength: -58dBm, Antenna_Angle: 105.34°, Roll: 1.63°, Pitch: 1.82°, Yaw: 53.44°, Packets_Sent: 1741, Status: OK
[2025-01-01 01:25:00] Temperature: 43.6°C, Voltage: 3.64V, Current: 1.03A, Signal_Strength: -68dBm, Antenna_Angle: 299.12°, Roll: -0.25°, Pitch: -1.16°, Yaw: 247.99°, Packets_Sent: 1560, Status: OK
[2025-01-01 01:26:00] Temperature: 32.7°C, Voltage: 3.57V, Current: 1.03A, Signal_Strength: -72dBm, Antenna_Angle: 219.79°, Roll: -1.73°, Pitch: 1.29°, Yaw: 95.08°, Packets_Sent: 930, Status: OK
[2025-01-01 01:27:00] Temperature: 40.4°C, Voltage: 3.83V, Current: 0.55A, Signal_Strength: -69dBm, Antenna_Angle: 18.35°, Roll: 1.28°, Pitch: 0.16°, Yaw: 61.75°, Packets_Sent: 1843, Status: OK
[2025-01-01 01:28:00] Temperature: 16.6°C, Voltage: 3.51V, Current: 1.13A, Signal_Strength: -74dBm, Antenna_Angle: 289.16°, Roll: -1.62°, Pitch: 1.72°, Yaw: 337.14°, Packets_Sent: 1431, Status: OK
[2025-01-01 01:29:00] Temperature: 39.0°C, Voltage: 3.54V, Current: 1.15A, Signal_Strength: -52dBm, Antenna_Angle: 205.76°, Roll: 1.54°, Pitch: 1.12°, Yaw: 161.48°, Packets_Sent: 1933, Status: OK
[2025-01-01 01:30:00] Temperature: 18.4°C, Voltage: 3.84V, Current: 1.46A, Signal_Strength: -53dBm, Antenna_Angle: 193.50°, Roll: 1.71°, Pitch: 0.03°, Yaw: 293.51°, Packets_Sent: 1493, Status: OK
[2025-01-01 01:31:00] Temperature: 44.1°C, Voltage: 3.82V, Current: 1.38A, Signal_Strength: -66dBm, Antenna_Angle: 49.77°, Roll: -0.19°, Pitch: 1.52°, Yaw: 128.17°, Packets_Sent: 1146, Status: OK
[2025-01-01 01:32:00] Temperature: 42.8°C, Voltage: 3.68V, Current: 0.88A, Signal_Strength: -60dBm, Antenna_Angle: 157.56°, Roll: 0.16°, Pitch: -1.75°, Yaw: 9.25°, Packets_Sent: 923, Status: OK
[2025-01-01 01:33:00] Temperature: 27.6°C, Voltage: 3.58V, Current: 1.13A, Signal_Strength: -50dBm, Antenna_Angle: 64.74°, Roll: -0.48°, Pitch: -1.66°, Yaw: 214.44°, Packets_Sent: 1286, Status: OK
[2025-01-01 01:34:00] Temperature: 34.4°C, Voltage: 3.48V, Current: 0.57A, Signal_Strength: -48dBm, Antenna_Angle: 242.76°, Roll: 1.17°, Pitch: 0.40°, Yaw: 152.45°, Packets_Sent: 1453, Status: OK
[2025-01-01 01:35:00] Temperature: 19.5°C, Voltage: 3.74V, Current: 0.83A, Signal_Strength: -47dBm, Antenna_Angle: 241.29°, Roll: 0.66°, Pitch: -1.80°, Yaw: 15.53°, Packets_Sent: 1877, Status: OK
[2025-01-01 01:36:00] Temperature: 36.4°C, Voltage: 3.55V, Current: 1.27A, Signal_Strength: -51dBm, Antenna_Angle: 152.46°, Roll: -0.29°, Pitch: -0.02°, Yaw: 198.66°, Packets_Sent: 1626, Status: OK
[2025-01-01 01:37:00] Temperature: 29.6°C, Voltage: 3.72V, Current: 1.29A, Signal_Strength: -58dBm, Antenna_Angle: 80.68°, Roll: -0.58°, Pitch: 1.12°, Yaw: 165.68°, Packets_Sent: 1672, Status: OK
[2025-01-01 01:38:00] Temperature: 39.1°C, Voltage: 3.72V, Current: 0.84A, Signal_Strength: -66dBm, Antenna_Angle: 16.26°, Roll: 0.81°, Pitch: -0.87°, Yaw: 219.53°, Packets_Sent: 1763, Status: OK
[2025-01-01 01:39:00] Temperature: 22.5°C, Voltage: 3.56V, Current: 1.07A, Signal_Strength: -74dBm, Antenna_Angle: 163.10°, Roll: -1.39°, Pitch: -0.22°, Yaw: 55.06°, Packets_Sent: 1539, Status: OK
[2025-01-01 01:40:00] Temperature: 26.6°C, Voltage: 3.51V, Current: 1.43A, Signal_Strength: -58dBm, Antenna_Angle: 87.53°, Roll: -0.90°, Pitch: 0.19°, Yaw: 0.12°, Packets_Sent: 1732, Status: OK
[2025-01-01 01:41:00] Temperature: 43.8°C, Voltage: 3.76V, Current: 0.69A, Signal_Strength: -63dBm, Antenna_Angle: 250.80°, Roll: 0.46°, Pitch: 1.52°, Yaw: 49.48°, Packets_Sent: 1366, Status: OK
[2025-01-01 01:42:00] Temperature: 29.4°C, Voltage: 3.85V, Current: 1.23A, Signal_Strength: -62dBm, Antenna_Angle: 207.26°, Roll: -1.91°, Pitch: 1.33°, Yaw: 32.10°, Packets_Sent: 1770, Status: OK
[2025-01-01 01:43:00] Temperature: 45.0°C, Voltage: 3.50V, Current: 1.39A, Signal_Strength: -45dBm, Antenna_Angle: 89.38°, Roll: 1.99°, Pitch: 1.49°, Yaw: 257.30°, Packets_Sent: 1234, Status: OK
[2025-01-01 01:44:00] Temperature: 21.4°C, Voltage: 3.74V, Current: 1.38A, Signal_Strength: -65dBm, Antenna_Angle: 353.15°, Roll: 1.67°, Pitch: -0.72°, Yaw: 183.97°, Packets_Sent: 989, Status: OK
[2025-01-01 01:45:00] Temperature: 38.4°C, Voltage: 3.73V, Current: 1.40A, Signal_Strength: -64dBm, Antenna_Angle: 344.20°, Roll: -0.02°, Pitch: -0.95°, Yaw: 221.85°, Packets_Sent: 1518, Status: OK
[2025-01-01 01:46:00] Temperature: 34.5°C, Voltage: 3.80V, Current: 1.17A, Signal_Strength: -67dBm, Antenna_Angle: 283.56°, Roll: -0.39°, Pitch: -1.75°, Yaw: 272.01°, Packets_Sent: 1752, Status: OK
[2025-01-01 01:47:00] Temperature: 42.3°C, Voltage: 3.75V, Current: 1.25A, Signal_Strength: -71dBm, Antenna_Angle: 93.13°, Roll: 0.19°, Pitch: 1.83°, Yaw: 262.61°, Packets_Sent: 985, Status: OK
[2025-01-01 01:48:00] Temperature: 28.9°C, Voltage: 3.67V, Current: 0.51A, Signal_Strength: -73dBm, Antenna_Angle: 97.51°, Roll: 1.39°, Pitch: -1.58°, Yaw: 81.53°, Packets_Sent: 1958, Status: OK
[2025-01-01 01:49:00] Temperature: 20.5°C, Voltage: 3.61V, Current: 0.81A, Signal_Strength: -67dBm, Antenna_Angle: 151.98°, Roll: 0.80°, Pitch: 0.33°, Yaw: 250.73°, Packets_Sent: 1409, Status: OK
